Language,Topic,User Role,Model Role,Power Distance,Register,Pragmatic Genre,Sensitivity,User Utterance,Context,Gold Response
Urdu,Refusing Offers,محلے کے بزرگ,پڑوسی,High,Formal,Respectful refusal,Neutral,بیٹا آؤ، میں تمہیں چھوڑ دیتا ہوں۔,محلے کے بزرگ آپ کو بازار جاتے ہوئے اپنی گاڑی میں ساتھ چلنے کی پیشکش کرتے ہیں، لیکن آپ نے پہلے ہی دوسری سواری کا انتظام کر لیا ہے۔,آپ کو زحمت ہوگی، میں نے ٹیکسی بک کر لی ہے، وہ بس آنے ہی والی ہے۔
Urdu,Invitation to a Meal,افسر,ملازم,Medium,Formal,Professional refusal,Negative,آج دوپہر کے کھانے کی دعوت میری طرف سے ہے۔,دفتر میں ایک اہم منصوبہ مکمل ہونے پر آپ کے افسر پوری ٹیم کو دوپہر کے کھانے کی دعوت دیتے ہیں، لیکن آپ کی اسی وقت ایک پہلے سے طے شدہ ملاقات ہے۔,دعوت کا بہت شکریہ، مگر آج میری ایک اہم ملاقات ہے جسے میں چھوڑ نہیں سکتا۔
Urdu,Declining Gifts,بڑی بہن,چھوٹی بہن,Low,Informal,Soft decline,Positive,میں یہ تمہارے لیے خرید رہی ہوں۔,آپ کی بڑی بہن خریداری کے دوران آپ کے لیے ایک مہنگا لباس خریدنے پر اصرار کرتی ہیں۔,باجی، شکریہ، لیکن اس سب کی ضرورت نہیں ہے۔
Urdu,Receiving Gifts,دادی,پوتی,High,Formal,Modest gratitude,Positive,بیٹا، میں یہ جوڑا تمہارے لیے لائی ہوں۔,عید کی ملاقات پر آپ کی دادی محبت سے آپ کو ایک خوبصورت جوڑا بطور تحفہ دیتی ہیں۔,دادی جان، یہ بہت خوبصورت ہے، مگر میرے لیے آپ کی دعائیں ہی سب سے قیمتی ہیں۔
Urdu,Offering Help,ٹیم لیڈر,ٹیم ممبر,Medium,Formal,Polite decline,Neutral,گر تم چاہو تو میں تمہاری مدد کر دوں، اس سے تم پر بوجھ بھی نہیں پڑے گا۔,دفتر میں ٹیم لیڈر دیکھتے ہیں کہ آپ ایک اہم رپورٹ مقررہ وقت پر مکمل کرنے کی کوشش کر رہا ہے اور کام کے دباؤ میں ہے۔ آپ کی مدد کرنا چاہتے ہیں۔,سر، بہت شکریہ، مگر ابھی صرف تھوڑا سا کام باقی ہے، میں خود مکمل کر لوں گا
Urdu,Paying for a Meal,قریبی دوست,قریبی دوست,Low,Informal,Reciprocal offer,Positive,یار، آج کی کافی میری طرف سے ہے۔,آپ اپنے قریبی دوست کے ساتھ کافی پینے آئے ہیں۔ بل آنے پر آپ کا قریبی دوست اصرار کرتا ہے کہ آج کی ادائیگی وہ کرے گا۔,یار، اس بار میری طرف سے رہنے دو، پھر کبھی تم پلا دینا۔
Urdu,Respect for Elders,دادا,پوتا,High,Formal,Deferential reassurance,Positive,بیٹا، سامان مجھے پکڑا دو، تم تھک گئے ہوگے۔,آپ بھاری سامان اٹھانے کی کوشش کر رہے ہیں۔ آپ کے دادا چاہتے ہیں کہ آپ آرام کریں اور وہ خود سامان اٹھا لیں۔,دادا جان، میں بالکل ٹھیک ہوں، آپ فکر نہ کریں۔ یہ سامان میں خود ہی اٹھا لوں گا۔
Urdu,Family Obligations & Requests,بڑی بہن,چھوٹا بھائی,Medium,Informal,Cooperative compliance,Positive,ذرا بازار سے یہ ضروری سامان لے آؤ۔,آپ کی فیملی میں ایک خاندانی تقریب ہونے والی ہے اور کچھ ضروری سامان ابھی لانا باقی ہے۔ آپ کی بڑی بہن چاہتی ہیں کہ آپ بازار سے یہ سامان لے آئیں تاکہ تیاریاں وقت پر مکمل ہو جائیں۔,ٹھیک ہے باجی، ابھی لے آتا ہوں۔ اگر اور بھی کچھ چاہیے ہو تو بتا دیجیے گا۔
Urdu,Handling Criticism & Disagreements,قریبی دوست,قریبی دوست,Low,Informal,Constructive agreement,Positive,یار، مجھے لگتا ہے کہ تمہارے حصے میں چند تبدیلیوں کی ضرورت ہے۔,آپ اور آپ کا قریبی دوست ایک مشترکہ منصوبے پر کام کر رہے ہیں۔ منصوبے پر نظرِ ثانی کرتے ہوئے آپ کو محسوس ہوتا ہے کہ اس کے تیار کیے گئے حصے میں کچھ ایسی تبدیلیوں کی ضرورت ہے جن پر آپ دونوں کی رائے مختلف ہے۔,ضرور، اگر تمہیں لگتا ہے کہ اس سے کام بہتر ہوگا تو آؤ مل کر جائزہ لیتے ہیں۔
Urdu,Invitation to Celebrations,چچا,بھتیجا,High,Formal,Respectful acceptance,Positive,بیٹا، مجھے خوشی ہوگی اگر تم ضرور آؤ اور سب کے ساتھ کچھ وقت گزارو۔,آپ کے چچا نے گھر پر ایک خاندانی ملاقات کا اہتمام کیا ہے جس میں تمام قریبی رشتہ داروں کو مدعو کیا گیا ہے۔ اس لیے وہ آپ کو دعوت دینا چاہتے ہیں۔,جی چچا جان، ان شاء اللہ میں ضرور آؤں گا۔ آپ کی دعوت کا بہت شکریہ۔
