Language,Topic,User Role,Model Role,Power Distance,Register,Pragmatic Genre,Sensitivity,User Utterance,Context,Gold Response
Urdu,Refusing Offers,پروجیکٹ کوآرڈینیٹر,ملازم,Medium,Formal,Grateful refusal,Neutral,اگر تمہاری رپورٹ مکمل نہیں ہوئی تو میں تمہاری مدد کر دیتا ہوں۔,دفتر میں پروجیکٹ کوآرڈینیٹر آپ کے حصے کی رپورٹ خود مکمل کرنے کی پیشکش کرتے ہیں، لیکن آپ رپورٹ تقریباً مکمل کر چکے ہیں اور اسے خود جمع کروانا چاہتے ہیں۔,سر، میری رپورٹ مکمل ہونے والی ہے۔ آپ کی مدد کا بہت شکریہ۔
Urdu,Invitation to a Meal,ماموں,بھانجا,Low,Informal,Tentative acceptance,Positive,آج دوپہر کا کھانا ہماری طرف کر لو۔,آپ کے ماموں آپ کو اپنے گھر دوپہر کے کھانے کی دعوت دیتے ہیں۔,جی ماموں، میں ضرور آؤں گا، اگر کوئی اور ضروری کام نہ نکل آیا۔
Urdu,Declining Gifts,سسر,داماد,High,Formal,Deferential refusal,Neutral,بیٹا، میں یہ گھڑی تمہیں دینا چاہتا ہوں۔,عید کی ملاقات پر آپ کے سسر آپ کو ایک قیمتی گھڑی بطور تحفہ دینا چاہتے ہیں۔,ابّا جان، آپ کی دعائیں ہی میرے لیے کافی ہیں، مجھے اس کے علاوہ کچھ نہیں چاہیے۔
Urdu,Receiving Gifts,سینئر ساتھی,جونیئر ساتھی,Medium,Formal,Humble gratitude,Positive,یہ لو، یہ تمہاری اچھی کارکردگی پر میری طرف سے ایک تحفہ ہے۔,کامیاب منصوبہ مکمل ہونے پر آپ کے سینئر ساتھی اپنی خوشی کے اظہار کے طور پر آپ کو ایک یادگاری تحفہ دیتے ہیں۔,سر، بہت شکریہ، مگر آپ کو اس کی تکلیف نہیں کرنی چاہیے تھی۔ یہ کامیابی تو ہم دونوں کی مشترکہ محنت کا نتیجہ ہے۔
Urdu,Offering Help,کزن,کزن,Low,Informal,Grateful acknowledgment,Positive,آؤ، ہم دونوں مل کر یہ کام کر لیتے ہیں۔,شادی کی تقریب کی تیاریوں کے دوران آپ ایک ساتھ کئی ذمہ داریاں نبھا رہے ہیں۔ آپ کا کام آسان کرنے کے لیے آپ کا کزن آپ کی مدد کرنا چاہتا ہے۔,یار، بس کام مکمل ہو گیا، تمہارا بہت شکریہ۔
Urdu,Paying for a Meal,ماموں,بھانجا,High,Formal,Respectful reciprocity,Positive,آج کے کھانے کا بل میں ہی ادا کروں گا۔,آپ اپنے ماموں کے ساتھ دوپہر کا کھانا کھا رہے ہیں۔ کھانا ختم ہونے کے بعد آپ کے ماموں چاہتے ہیں کہ بل وہی ادا کریں۔,ماموں جان، آپ کی محبت کا بے حد شکریہ، مگر آج کا کھانا میری طرف سے رہنے دیجیے۔
Urdu,Respect for Elders,سینئر پروفیسر,لیکچرار,Medium,Formal,Respectful compliance,Positive,آپ کافی دیر سے کام کر رہے ہیں، کچھ دیر آرام کر لیجیے، باقی کام بعد میں ہو جائے گا۔,آپ کافی دیر سے مسلسل کام میں مصروف ہیں۔ آپ کے شعبے کے سینئر پروفیسر چاہتے ہیں کہ آپ کچھ دیر آرام کر لیں اور کام بعد میں جاری رکھیں۔,بہت شکریہ سر، بس یہ کام مکمل کر لوں، پھر کچھ دیر آرام کر لیتا ہوں۔
Urdu,Family Obligations & Requests,کزن,کزن,Low,Informal,Cooperative compliance,Positive,ذرا یہ کام تم سنبھال لو۔,آپ اپنے کزن کے ساتھ ایک خاندانی تقریب کی تیاریوں میں مصروف ہیں اور ابھی کچھ کام باقی ہیں۔ آپ کا کزن چاہتا ہے کہ آپ ایک کام سنبھال لیں تاکہ تمام انتظامات وقت پر مکمل ہو جائیں۔,ٹھیک ہے، یہ کام میں سنبھال لیتا ہوں۔ تم باقی تیاری دیکھ لو، ہم مل کر سب وقت پر مکمل کر لیں گے۔
Urdu,Handling Criticism & Disagreements,استاد,طالب علم,High,Formal,Accepting criticism,Positive,آپ کی اسائنمنٹ مجموعی طور پر اچھی ہے، لیکن اس میں چند اہم نکات شامل نہیں کیے گئے۔,آپ کی اسائنمنٹ چیک ہونے کے بعد معلوم ہوا ہے کہ اس میں چند اہم نکات شامل نہیں ہیں۔ آپ کے استاد چاہتے ہیں کہ وہ اس بارے میں آپ سے بات کریں تاکہ آپ اپنی غلطیوں کو بہتر طور پر سمجھ سکیں۔,جی سر، یہ میری کوتاہی تھی۔ آپ کی نشاندہی کا شکریہ، میں ان نکات کو شامل کر کے اسائنمنٹ بہتر کر دوں گا۔
Urdu,Invitation to Celebrations,ٹیم لیڈر,ٹیم ممبر,Medium,Formal,Respectful acceptance,Positive,آپ بھی ضرور تشریف لائیے گا۔,آپ کے ٹیم لیڈر نے ٹیم کی حالیہ کامیابی کی خوشی میں تمام اراکین کے لیے ایک غیر رسمی ملاقات کا اہتمام کیا ہے۔ اس لیے وہ آپ کو دعوت دینا چاہتے ہیں۔,بہت شکریہ! ان شاء اللہ میں ضرور تشریف لاؤں گا۔
