ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation
1,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,4,4,4,4,0,0,جی ماموں، ان شاء اللہ میں ضرور لیتا ہوں۔ تمہارا بہت شکری�,2,2,2,2,0,1,ٹھیک ہے، براہِ کرم رہنے دیجیے۔ یہ کام مکمل ہو جائ,2,2,2,2,0,0,اب کچھ وقت ضرور ختم ہو جائے گا، بس کچھ میراث دینا ہے۔,1,1,1,1,0,0
2,دوست,دوست,Low,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,3,4,4,4,0,0,یار، آپ کی محبت کا اس بات کا خیال ہے، مگر میری طرف سے نہیں،,2,2,2,2,0,0,جی ماموں، میں ضرور چائے بناؤں، اگر کوئی اور ضروری کام نہ نکل آیا۔ تم,1,1,1,1,0,1,جی ماموں، چائے بناؤں، میں تیاری کر لیتا ہوں۔,2,1,2,2,0,1
3,ساس,بہو,High,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,4,4,4,4,0,0,ابّا جان، آپ کی محبت کا بے حد شکریہ، مگر بس یہ کام مکمل کر لوں، پھر کچھ �,2,3,3,2,0,1,ابو، یہی ہوں، مگر تمھاری نشاندہی کا شکریہ۔ ان شاء اللہ می�,1,1,1,1,0,1,ابو کی تقریباً کلام ہے، ان کی محبت کا نشان دینے کی کوشش ہے۔,1,2,2,1,0,1
4,بزرگ,نوجوان,High,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,3,3,4,4,0,0,بہت شکریہ سر، مگر مجھے دوسرے کام کی ضرورت نہیں ہے۔ ی�,2,3,3,2,0,0,ٹھیک ہے، یہ کتاب میری طرف سے رکھ لیتا ہوں، ان شاء اللہ تھوڑ,2,2,2,1,0,0,جی ماموں، رہن دیجیye یہ کتاب، میں ضرور پڑھ لیتا ہوں۔,2,2,2,2,0,1
5,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,اور میٹھا لے لیجیے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,4,4,4,4,0,0,بہت شکریہ! یہ آپ کی اچھی خدمت کے لیے ایک چھوٹی سی ٹپ ہ�,2,1,2,2,0,0,سر، آپ کی محبت کا بے حد شکریہ، مگر یہ مکمل نہ نکل دیناچاہتا,2,2,2,2,0,0,جی ماموں، میٹھا لیتا ہوں۔,1,1,1,1,0,1
6,استاد,طالب علم,Medium,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,3,3,3,4,0,0,سر، ان شاء اللہ میں بہتر توضیح دینے کی کوشش کروں گا۔,1,1,1,1,0,0,نہیں یار، بس تقریباً ختم ہی ہوا، اگر کوئی حصہ خاص طور پر مشکل لگا تو,3,3,3,3,0,1,ضرور نہیں یار، بس تقریباً ختم ہی ہو گیا ہے۔,2,2,2,2,0,1
7,خالہ,بھانجا,High,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,رات یہیں رک جاؤ، صبح چلے جانا۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,4,4,4,4,0,0,جی ماموں، میں ضرور رات یہیں رہوں گا۔ تمہارا بہت شکری,2,2,2,1,0,1,ابو، آپ کی محبت کا بے حد شکریہ، مگر میں ضرور چلو گیا، ان شاء اللہ تمہاری,3,3,3,3,0,1,سر، آپ کی محبت کا بے حد شکریہ، مگر نہیں یہ تقریباً وقت پورا ہ,1,1,1,1,0,1
8,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,3,3,3,4,0,0,نہیں یار، براہِ کرم باقی رہنے دیجیے۔ بس تقریباً ختم ہ,3,3,3,3,0,0,جی سر، بس تقریباً کام لاکھی نہیں، اگر کوئی اور ضروری شیپن,2,2,2,2,0,0,نہیں یار، شکریہ! بس تقریباً ختم ہی ہو گیا ہے۔ تم�,2,3,3,2,0,0
9,دوست,دوست,Low,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,چل یار، ایک اور گیم کھیل لیتے ہیں۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,3,4,4,4,0,0,یار، بس کامیابی! ان شاء اللہ میرا بہتر رہن شاندیں ہو جائے گی۔,0,0,0,0,0,0,ٹھیک ہے یار، ایک اور گیم کھیل لیتے ہیں، امید ہے کہ,2,2,2,2,0,0,ٹھیک ہے، یار! بس یہ گیم ختم کر لیں، پھر دوسرا کھیل شروع کر لیتے,2,2,2,2,0,0
10,ماموں,بھانجی,High,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,3,3,3,4,0,0,ابو، آپ کی نشاندہی کا بہت شکریہ۔ میں رہرہوں یہ رقم رک,2,2,2,2,0,1,یار، بس ان رقمنے کو بچaoں دینا جیسا کہ اس کام میں ضرورत آؤنے وال,1,1,1,0,0,1,بہت شکریہ سر، بس رہوں، تاکہ کوئی ضروری نہیں نکل آیا۔ ی�,2,2,2,2,0,1
