ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation,Response_D,D_Relational_Alignment,D_Indirectness,D_Facesaving,D_Cultural_Appropriateness,D_Directness_Threat,D_Hierarchy_Violation
1,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,,,,,,,"""میزبانی، بہت شکری۔""",,,,,,,"""جی، کھانا بہت اچھا لگ رہا ہے، یہ سالن ضرور لیتا ہو",,,,,,,"""جی، مزید سالن بہت مہربانی ہے، مگر میں اسے نہیں لیاں",,,,,,,"""شکریہ، مگر میں نے کافی کھا لیا ہے۔ آپ کا بہت شکریہ!""",,,,,,
2,دوست,دوست,Low,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,,,,,,,"""جی، بس اب کافی ہو گیا، کچھ دیر آرام کر لے۔""

---",,,,,,,"""جی، آج چائے بنوانا بہت اچھا ہے۔""",,,,,,,"""نہیں یار، شکریہ! میں نے کافی پی لی ہے، بس تمہارے ساتھ بیٹھ کر باتیں کرنے کا مزہ آ رہا ہے۔""",,,,,,,"""بھائی، میں اسے پیں گا۔ مزید چائے کی ضرورت نہیں۔""",,,,,,
3,ساس,بہو,High,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,,,,,,,"""شکریہ ساس جی، مگر میں نے کافی کھا لیا ہے۔""",,,,,,,"""ساسی، آپ کی بہت مہربانی، مگر میں نے پہلے ہی کافی روٹی ک",,,,,,,"""جی ساسی، آپ کی بہت مہربانی، لیکن مجھے ابھی کافی ہو گیا ہے�",,,,,,,"""جی داسی، مزید روٹی نہیں پڑی، میری فکر کرنے کا شکریہ۔""",,,,,,
4,بزرگ,نوجوان,High,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,,,,,,,"""جی بزرگ جان، آپ کی بہت مہربانی، لیکن میں یہاں کچھ دن رہوں گا",,,,,,,"""بزرگ، بہت شکری۔ مگر مجھے افسوس ہے، میرے پاس کتاب رکھنے",,,,,,,"""بہت شکریہ، آپ کی مہربانی ہے، مگر میں آپ کی کتاب واپس کر دوں گا۔""",,,,,,,"""جی بزرگ جان، میں اس کتاب کو ملک میں لے جاں گا۔ آپ کی پیش",,,,,,
5,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,اور میٹھا لے لیجیے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,,,,,,,"""جی، بہت احسن!""",,,,,,,"""میزبانی، بہت شکری۔ میٹھا کھانے کے بعد مجھے بھی مزید کھلانے",,,,,,,"""بہت شکریہ! مگر میں نے ابھی کافی کھایا ہے، آپ کی مہربانی ہے۔""",,,,,,,"""جی، مزید میٹھا لیکر ممنون ہوں۔ آپ کی مہربانی کو بہت شک",,,,,,
6,استاد,طالب علم,Medium,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,,,,,,,"""جی، مزید وضاحت کے لیے بہت شکریہ۔ آپ کی مہربانی میں کوئی",,,,,,,"""سر، آپ کی مہربانی، مگر میں نے سب سمجھ لیا ہے۔ شکریہ!""",,,,,,,"""جی سر، اگر ضرورت ہو تو کچھ مزید وضاحت کیجیے گا۔""",,,,,,,"""آپ کی بہت مہربانی، سر، مگر میں سبق کے بعد بھی کچھ سمجھ نہی",,,,,,
7,خالہ,بھانجا,High,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,رات یہیں رک جاؤ، صبح چلے جانا۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,,,,,,,"""خالہ جان، بہت مہربانی، مگر مجھے آج ہی واپس جانا ہے۔ ان شاء اللہ جلد دوبارہ آؤں گا۔""",,,,,,,"""خالہ جان، آپ کی بہت مہربانی، لیکن میں واپس جانا چاہتا ہوں",,,,,,,"""خالہ جان، آپ کی بہت مہربانی، مگر میں اپنی منزل پر رات گزارنا چاہتا �",,,,,,,"""خالہ جان، میں اپنے بیٹے سے ملاقات کر رہا ہوں، اس لیے میں",,,,,,
8,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,,,,,,,"""بہت ممنون، جیسے ہوا۔ اگر آپ کی پیشکش کو لانے کی ضرورت",,,,,,,"""بہت شکریہ، مگر میں خود ہی جا کر لے آؤں گا۔""",,,,,,,"""شکر ہوگا، آپ کی بہت مہربانی، لیکن مجھے یہ ضرورت نہیں",,,,,,,"""پڑوسی جان، آپ کی بہت مہربانی، مگر آپ زحمت نہ کریں۔ میں یہ کام",,,,,,
9,دوست,دوست,Low,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,چل یار، ایک اور گیم کھیل لیتے ہیں۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,,,,,,,"""کیوں نہیں! یہ تو زبردست آئیڈیا ہے، چلو شروع کرتے ہیں!""",,,,,,,"""جی، یار، ایک اور گیم کھیلیں گے!"" (Answer in English)
""جی، یار، ایک اور گیم کھ",,,,,,,"""آرے یار، یہ تو آج تک کافی ہوا، کھیلنے کے لیے بہت خوش",,,,,,,"""بہت مبارک ہو، چلیں یار!""",,,,,,
10,ماموں,بھانجی,High,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,,,,,,,"""مамوں جان، اس رقم کو میں بھی رکھ رہی ہوں، آپ کی بہت مہرب",,,,,,,"""ماموں، آپ کی مہربانی کا بہت شکریہ، مگر مجھے واقعی ضرورت نہیں ہے۔""",,,,,,,"""جی ماموں، آپ کی بہت مہربانی، لیکن ضرورت نہیں ہے۔""",,,,,,,"""ماموں جان، آپ کی بہت مہربانی، مگر مجھے یہ رقم نہیں چاہی",,,,,,
11,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ ملاقات کے اختتام پر میزبان آپ کی مزید خدمت کی پیشکش کرتا ہے۔,اور کچھ چاہیے ہو تو بتائیے گا۔,بہت شکریہ، آپ نے پہلے ہی بہت عزت اور توجہ دی ہے، مزید کسی چیز کی ضرورت نہیں اب اجازت دیجیے۔,,,,,,,"""بہت شکریہ، آپ کی مہمان نوازی کافی ہے۔""",,,,,,,"""جی، مزید کچھ نہیں، میں آپ کی خدمतوں کا شکریہ کرتا ہو",,,,,,,"""میزبان جان، آپ کی بہت مہربانی، مگر مجھے یہی یہی کافی تھا۔""",,,,,,,"""شکر ہوگا، آپ کی مہمان نوازی کا شکریہ۔ ابھی کچھ ضرورت نہیں",,,,,,
12,دوست,دوست,Low,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ جم جانے کی پیشکش کرتا ہے۔,چل یار، میرے ساتھ جم چل۔,یار، آج تو نہیں ہو پائے گا، لیکن کسی دن ضرور چلیں گے۔,,,,,,,"""جی، مراہم یار، میرے ساتھ جم چلےں۔""",,,,,,,"""یار، آج تو نہیں جا سکوں گا، لیکن اگلی بار ضرور چلیں گے!""",,,,,,,"""ارے یار، تمہیں کیا کہنا تھا، میں بس یہی کرتا رہا �",,,,,,,"""یار، تم آ گئے، بس ابھی کچھ دیر میں نہیں جا سکتا، پھر آگ�",,,,,,
13,بزرگ خاتون,نوجوان,High,آپ ایک خاندانی دعوت میں موجود ہیں۔ کھانے کے دوران بزرگ خاتون آپ کو مزید کھانا لینے پر زور دیتی ہیں۔,بیٹا، تھوڑا سا اور کھا لو، بہت کم کھایا ہے۔,آپ کی محبت کا بہت شکریہ، میں نے بھرپور کھانا کھایا ہے، اب واقعی مزید گنجائش نہیں رہی۔,,,,,,,"""جی، امی، ابھی کچھ کھا لوں گی، آپ کی مہربانی کا شکریہ۔""",,,,,,,"""جی دادی، مگر میں بہت کم کھایا ہے، تھوڑا سا اضافہ کر دی",,,,,,,"""جی اماں، میں نے بہت کم کھایا ہے، بس ابھی کچھ مزید کھا لو",,,,,,,"""بہت شکریہ، آنٹی، مگر میں نے کافی کھا لیا ہے۔ آپ کی مہربانی ہے!""",,,,,,
14,میزبان,مہمان,Medium,آپ ایک ملاقات میں مہمان ہیں۔ گفتگو کے دوران میزبان آپ کو مزید چائے پیش کرنے کی پیشکش کرتا ہے۔,چائے دوبارہ ڈال دوں؟,بہت شکریہ، چائے بہت اچھی تھی، لیکن فی الحال یہی کافی ہے۔,,,,,,,"""جی، اگر آپ کو تکلیف نہ ہو تو ایک کپ اور دے دیں، بہت مہربانی!""",,,,,,,"""جی، میں آپ کی طرف سے چائے پیش کرتا ہوں۔""",,,,,,,"""جی، بہت کوشش کرتے ہیں، چلے آئیے۔""",,,,,,,"""جی، میزبان جان، بس ابھی چائے دوبارہ ڈالیں۔"" (میزبان)
""جی، بس ابھ",,,,,,
15,چچا,بھتیجا,High,آپ اپنے چچا کے گھر آئے ہوئے ہیں۔ واپسی کے وقت وہ آپ کو رات وہیں قیام کرنے کی پیشکش کرتے ہیں۔,رات یہیں رک جاؤ، صبح آرام سے چلے جانا۔,چچا جان، آپ کی بہت مہربانی بہت مزہ آیا، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,,,,,,,"""جی چچاجان، آپ کی بہت مہربانی۔ لیکن مجھے واپس جانا ہے، یہ",,,,,,,"""چچا جان، آپ کی بہت مہربانی، مگر آپ زحمت نہ کریں۔ میں یہا�",,,,,,,"""چچا جان، آپ کی دعوت کا بہت شکریہ، مگر مجھے گھر جانا ہے۔ ان شاء اللہ جلد ہی دوبارہ آؤں گا۔""",,,,,,,"""چچا جان، میں واپس گھر جا رہا ہوں، صبح آرام سے چلے جانا",,,,,,
16,دوست,دوست,Medium,آپ اپنے دوست سے ملاقات کے دوران گفتگو کر رہے ہیں۔ بات چیت کے اختتام پر وہ آپ کو رات کے کھانے کی دعوت دیتا ہے۔,آج رات ہمارے ساتھ کھانا کھاؤ گے؟,بہت شکریہ یار، یہ تمہاری محبت ہے، کوشش کروں گا کہ ضرور آ سکوں۔,,,,,,,"""بھائی، میں آئیں گیں، خوشی سے!""",,,,,,,"""جی، یقیناً، میں ضرور آؤں گا۔ آپ کی دعوت کا شکریہ!""",,,,,,,"""جی، میں ضرور آؤں گا۔""",,,,,,,"""ضرور، یار! مجھے بہت خوشی ہوگی، بتاؤ کس وقت آنا ہے؟""",,,,,,
17,پڑوسی,پڑوسی,Medium,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ وہ آپ کو اپنے گھر کھانے کی دعوت دیتے ہیں۔,کل شام ہمارے گھر کھانے پر تشریف لائیے گا۔,بہت شکریہ، آپ کی دعوت میرے لیے باعثِ خوشی ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,,,,,,,"""ضرور، آپ کی دعوت قبول ہے۔ کل شام آپ کے گھر آؤں گا۔""",,,,,,,"""جی پڑوسی، کل شام ضرور آئیں گے، آپ کی دعوت کا شکریہ!""",,,,,,,"""جی، مرسلاً آں گا۔ میری جانب سے بھی خوشی ہوگی۔""",,,,,,,"""جی، کل شام ہمیں آپ کے گھر کھانے پر حاضر ہونا ہے۔""",,,,,,
