ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation,Response_D,D_Relational_Alignment,D_Indirectness,D_Facesaving,D_Cultural_Appropriateness,D_Directness_Threat,D_Hierarchy_Violation
1,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,,,,,,,"""سالن لے لیا، ابھی گرم ہے۔""
""سالن لے لیا، ابھی گرم ہے�",,,,,,,"""جی، ابھی لینا چاہیے نہیں، وہ ٹمپرٹ ہوجائے گا",,,,,,,"""جی، میں لے لیا گیا، آپ کی طاقت کو آرام دینے کے لیے بہت شک",,,,,,,"""شکریہ، میں تھوڑا سا اور لے لیتا ہوں۔""",,,,,,
2,دوست,دوست,Low,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,,,,,,,"""جی، بس ابھی بنوائیں۔""",,,,,,,"""جی، چلو چائے بناتی ہوں۔""",,,,,,,"""نہیں، آپ فکر نہ کریں، میں خود بنا لوں گا۔""",,,,,,,"""جی، میں آپ کی لیئے چائے بنانے کے لیے آ آئیں گی۔""",,,,,,
3,ساس,بہو,High,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,,,,,,,"""شکریہ امی، میں نے ابھی کافی کھا لی ہے، مگر آپ کی محبت کا بہت شکریہ۔""",,,,,,,"""جی، میں روٹی لے جاؤں گا۔""",,,,,,,"""جی، امی، ابھی لاتی ہوں۔""",,,,,,,"""جی دادی، میں لیا گا۔ آپ کی مہربانی کو بہت شکریہ۔""",,,,,,
4,بزرگ,نوجوان,High,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,,,,,,,"""جی، یقیناً رکھ لوں گا۔""",,,,,,,"""جی سر، میں کتاب اپنے پاس رکھ لوں گا۔""",,,,,,,"""شکریہ، یہ واقعی میرے لیے بہت مفید ہوگی۔""",,,,,,,"""جی، میں اس کتاب رکھ لیا گا۔ آئے گے وقت میں کام کر لیں گ",,,,,,
5,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,اور میٹھا لے لیجیے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,,,,,,,"""جی، لے لیجا۔""",,,,,,,"""شکر ہے، ابھی ملی۔""",,,,,,,"""شکریہ، مگر میں نے پہلے ہی کافی میٹھا لے لیا ہے۔""",,,,,,,"""جی، میں لے لیا گیا۔ شکریہ چاہتی ہوں۔""",,,,,,
6,استاد,طالب علم,Medium,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,,,,,,,"""جی، مزید وضاحت کی مہربانی شکریہ۔ میں کہلاتا ہوں کہ حالیں م",,,,,,,"""شکریہ سر، میں آپ کی وضاحت کا انتظار کروں گا، اگر ضرورت محسوس ہوئی تو آپ سے رابطہ کروں گا۔""",,,,,,,"""جی، اگر ضروری ہو تو وضاحت کیجیے، میں سمجھنے کی کوشش کروں گا۔",,,,,,,"""میں سمجھتا ہوں سر، بس ابھی تک کوئی خاص مسئلہ پیش نہیں آیا۔""",,,,,,
7,خالہ,بھانجا,High,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,رات یہیں رک جاؤ، صبح چلے جانا۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,,,,,,,"""شکریہ، مگر مجھے آج ہی جانا ہے۔ آپ کی مہمان نوازی کا بہت شکریہ!""",,,,,,,"""جی، یقیناً چلو، رات کو یہیں ہی رہوں گا، صبح کا وقت آجان",,,,,,,"""جی، میں رات یہیں رک جاؤں گا، صبح چلے جانا۔""",,,,,,,"""جی، میں رات یہیں رک جाऊں گی، صبح کیلئے آرام حاصل کر لی",,,,,,
8,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,,,,,,,"""جی، بہت محسوس ہے۔ اگر آپ کہوں تو میں اس کے لیے بہت شکر",,,,,,,"""بہت مہربانی، مگر مجھے کچھ نہیں چاہیے، آپ آرام کریں۔""",,,,,,,"""کیا ضرورت ہے، آپ کی بہت مہربانی۔ بس ضرورت پڑی تو خود جاؤں گا",,,,,,,"""شکریہ، بس آپ کی مہربانی کافی ہے۔
میں بازار سے خریداری کرنے کے",,,,,,
9,دوست,دوست,Low,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,چل یار، ایک اور گیم کھیل لیتے ہیں۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,,,,,,,"""چلو، کیوں نہیں! یہ تو مزے کا ہوگا۔""",,,,,,,"""جی، میں بھی کھیلنے کے لیے تیار ہوں۔""",,,,,,,"""کیا بات ہے، یار! میں بھی تیار ہوں، چلو کھیلتے ہی",,,,,,,"""جی یار، آگے بڑھیا ہوں۔ میں بھی ایک اور گیم کھیلنے",,,,,,
10,ماموں,بھانجی,High,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,,,,,,,"""جی، میں اس کے لیے کافی رقم رکھ لیتا ہوں۔ آپ کی مہربانی کو",,,,,,,"""بہت شکریہ! آپ کی مہربانی ہمیشہ میرے ساتھ رہی ہے، مگر میں یہ رقم نہیں لے سکتا۔""",,,,,,,"""جی، یقیناً رکھ لوں گا، آپ کی بہت مہربانی۔""",,,,,,,"""جی سر، میں نے پیسے رکھ لیے ہیں۔""",,,,,,
