ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation,Response_D,D_Relational_Alignment,D_Indirectness,D_Facesaving,D_Cultural_Appropriateness,D_Directness_Threat,D_Hierarchy_Violation
1,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,4,4,4,4,0,0,"""میزبانی، بہت شکری۔""",2,2,2,2,0,0,"""جی، شکر ہو۔ آپ کی مہربانی کا شکریہ!""",2,2,2,2,0,0,"""میزبان جان، میں اسے بہت میلے۔ آپ کی مہربانی کو بہت شکری",2,1,2,1,0,0,"""شکریہ، مگر میں نے ابھی کافی کھا لیا ہے۔ آپ کا بہت شکریہ!""",3,3,3,3,0,0
2,دوست,دوست,Low,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,3,4,4,4,0,0,"""شکریہ، مگر مجھے ابھی جانا ہے۔""",2,2,2,2,0,0,"""جی، آج تک کافی کیا ہے، چائے بنایا کروں گا۔""",1,1,1,1,0,0,"""نہیں یار، کافی ہے، تمہاری مہمان نوازی کا شکریہ!""",3,3,3,3,0,0,"""بھائی، میں بھی چائے پیں گا۔ مزید بھی بنائیں۔""",2,2,2,0,0,0
3,ساس,بہو,High,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,4,4,4,4,0,0,"""شکریہ ساس جی، میں نے ابھی کافی کھا لیا ہے، آپ فکر نہ کریں۔""",3,3,3,3,0,0,"""ساسی، آپ کی بہت مہربانی، مگر مجھے یقین ہے کہ میں نے ک",2,2,2,2,0,1,"""جی ساسی، ابھی کافی ہو گیا، بس یہی کافی ہے۔""",2,2,2,2,0,1,"""مамا جان، اور کیا پیسکے ہے؟ میں ایک چھوٹی سی روٹی بھ",2,2,2,1,0,0
4,بزرگ,نوجوان,High,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,3,3,4,4,0,0,"""بزرگ صاحب، آپ کی بہت مہربانی، لیکن مجھے یہ کتاب ضرurat نہیں ہ�",3,3,3,3,0,0,"""جی بزرگ، بہت شکریہ۔ مگر مجھے یقین نہیں کہ اس کتاب کے لیے",2,2,2,1,0,0,"""بہت شکریہ، آپ کی مہربانی ہے، مگر میں اسے آپ کے پاس ہی رہنے دوں گا۔""",3,3,3,3,0,0,"""بزرگ جان، میں اس کتاب کو ملائیں گا۔ آپ کی پیشکش کو بھی ش",1,1,1,1,0,0
5,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,اور میٹھا لے لیجیے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,4,4,4,4,0,0,"""شکر ہوے، آپ کی مہربانی کا شکریہ۔""",2,2,2,2,0,0,"""میزبانی، بہت شکری۔ میٹھا لے کر بہت اچھا لطف اندوز ہوا۔""",3,3,3,2,0,0,"""بہت شکریہ، مگر میں نے کافی کھا لیا ہے۔""",3,3,3,3,0,0,"""شکریہ میزبان جان، لیں مگر میں اسے نہیں پائmant کر سکتا۔""",2,2,2,2,0,0
6,استاد,طالب علم,Medium,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,3,3,3,4,0,0,"""جی، مزید وضاحت کیا جا سکتا ہے۔ ممنون ہوں کہ آپ کی مہربانی",3,3,3,3,0,0,"""سر، آپ کی مہربانی، مگر میں نے سب سمجھ لیا ہے۔ شکریہ!""",3,3,3,3,0,0,"""جی سر، اگر ضرورت ہو تو ضرور بتائیے، میں سمجھنے کی کوشش کروں گا۔",2,2,2,2,0,0,"""جی سر، میں نے کچھ حصے میں مشکلات کا سامنا کیا۔ آپ کی مزید وضاحت سے ب�",2,2,2,2,0,0
7,خالہ,بھانجا,High,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,رات یہیں رک جاؤ، صبح چلے جانا۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,4,4,4,4,0,0,"""خالہ، آپ کی مہربانی، مگر مجھے آج ہی واپس جانا ہے۔ ان شاء اللہ جلدی ملاقات ہوگی۔""",4,4,4,4,0,0,"""خالہ جان، آپ کی بہت مہربانی، لیکن میں چاہتا ہوں کہ واپ",2,2,2,2,0,0,"""خالہ جان، آپ کی بہت مہربانی، مگر میں صبح چلنا چاہتا ہوں",1,1,1,1,0,0,"""خالہ جان، میں اپنا گھر رکنے کی نیکات ہوں۔ صبح واپس آں",1,1,1,1,0,0
8,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,3,3,3,4,0,0,"""بھتیجا جان، میں اپنے صحتی سے لے آتا ہوں، لیکن آپ کی پی",2,2,2,2,0,1,"""شکریہ بھائی، مگر مجھے کچھ نہیں چاہیے۔ آپ کی مہربانی کا بہت شکریہ!""",3,3,3,3,0,1,"""شکر ہوے، آپ کی بہت مہربانی، لیکن میں نے پہلے ہی",3,3,3,3,0,0,"""شکریہ، مگر آپ زحمت نہ کریں۔ میں بازار خود جا کر خریداری کر لوں گا۔""",2,2,2,2,0,0
9,دوست,دوست,Low,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,چل یار، ایک اور گیم کھیل لیتے ہیں۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,3,4,4,4,0,0,"""کیوں نہیں! یہ تو مزے کا ہوگا، چلو شروع کرتے ہیں!""",3,3,3,3,0,0,"""جی، بس اب کافی ہو گیا، کچھ دیر آرام کر لے!"" (Answered by User Role: دوست)
""شکر گزار",3,3,3,3,0,0,"""جی یار، کھیلتے ہیں، لیکن پہلے کھانے کا بندوبست کرو، پ",3,3,3,3,0,0,"""جبکہ آپ کے ہوا ہوں، چلیں یار، ایک اور گیم کھیلنے ک",1,1,1,1,0,0
10,ماموں,بھانجی,High,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,3,3,3,4,0,0,"""مамوں جان، اس رقم کو میں ہمیشہ بھر کر رکھتا ہوں، آپ کی",2,2,2,2,0,0,"""ماموں، آپ کی مہربانی کا بہت شکریہ، مگر مجھے واقعی ضرورت نہیں ہے۔""",3,3,3,3,0,0,"""جی ماموں، آپ کی بہت مہربانی، یہ رقم ضرور رکھ لوں گی۔""",2,2,2,2,0,1,"""ماموں جان، آپ کی بہت مہربانی، مگر میں نے پہلے ہی اپن�",2,2,2,2,0,0
