ID,Language,Topic,User Role,Model Role,Power Distance,Register,Pragmatic Genre,Sensitivity,User Utterance,Context,Gold Response,Qwen_Response,LLaMA_Response,Qalb_Response
1,Urdu,Refusing Offers,میزبان,مہمان,Medium,Formal,Gratitude + indirect refusal,Positive,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,اب تقریباً بہتر ہے، بس کچھ زیادہ نہ نکل آ جائے۔,بہت شکریہ! بس ختم ہو گیا۔,نہیں یار، بہت شکریہ، مگر مجھے کافی لگ گیا۔ تمہارا بہت
2,Urdu,Refusing Offers,دوست,دوست,Low,Informal,Polite refusal,Negative,اور چائے بنوا دوں؟,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,"ضرور یار کی ضرور چائے بنانے دیتا ہے۔ ""اب کام ہے، یار! میری ک",جی یار، چائے بنوا دینا تھوڑا دیر کام ہو جائے گا۔,جی یار، بس یہ کام مکمل کر لوں، پھر تمہاری خدمت کر لیتا ہوں۔ (بہ
3,Urdu,Refusing Offers,ساس,بہو,High,Formal,Deferential refusal,Positive,بیٹا، اور روٹی لے لو۔,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,ابّا جان، میں ان کی سرپرستی میں ہوں، ان کی ضرورت نہیں۔,ابو، نہیں یار، بس ختم ہو گیا۔,جی امی، بس یہی کافی ہے، براہِ کرم رہنماں بنوائیں۔ ان ش
4,Urdu,Refusing Offers,بزرگ,نوجوان,High,Formal,Respectful hesitation,Positive,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,سر، شکریہ! بس یہ کام ختم نہیں ہو گیا ہے، اگر کام مکمل,بہت شکریہ سر، مگر بس میری طرف سے کام نہیں ہو رہا۔,بہت شکریہ سر، مگر مجھے اس وقت دیگر ضروری امور دھیان میں لانا پڑ رہا ہ
5,Urdu,Refusing Offers,میزبان,مہمان,Medium,Formal,Face-saving refusal,Negative,اور میٹھا لے لیجیے۔,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,بہت شکریہ سر، بس کافی ہے۔,بہت شکریہ، بس ختم کر دینا چاہیے۔,نہیں یار، بہت شکریہ! بس اتنا ہی لیتا ہوں، مزے مز�
6,Urdu,Refusing Offers,استاد,طالب علم,Medium,Formal,Careful refusal,Neutral,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,سر، میرا بہت شکریہ، بس اگر کوئی خاص موضوع بیان کرنا چاہیے تھ,جی بالکل، اگر آپ کو کچھ حصے میں difficulty ہو رہا ہے تو میں ان شاء اللہ,جی سر، بس یہ کام مکمل کر لوں، پھر میں اضافی رہنمائی لیتا ہوں۔
7,Urdu,Refusing Offers,خالہ,بھانجا,High,Formal,Respectful refusal,Negative,رات یہیں رک جاؤ، صبح چلے جانا۔,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,سر، بہت شکریہ، لیکن آپ کو ضرورت نہیں، میں ان شاء اللہ اسی ر,بہت شکریہ خالہ جان، مگر میں ضرور چلا جاؤں گا۔ تمہارا بہت,جی خالہ، بس یہ کام مکمل کر لوں، پھر رات یہیں رہوں گا۔
8,Urdu,Refusing Offers,پڑوسی,پڑوسی,Medium,Formal,Indirect refusal,Neutral,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,بہت شکریہ سر، بس ایک ٹویل یار، ان شاء اللہ یہ آپ کی طرف س,نہیں یار، شکریہ! بس کام ہو گیا ہے۔,نہیں یار، شکریہ! بس یہ کام مکمل کر لوں، پھر کچھ لیتا ہو�
9,Urdu,Refusing Offers,دوست,دوست,Low,Informal,Light refusal,Neutral,چل یار، ایک اور گیم کھیل لیتے ہیں۔,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,یار، بہت شکریہ! ان شاء اللہ ہم آئندہ مکمل گیاں گا۔,جی یار، ان شاء اللہ کچھ دیر آرام کر لیتے ہیں پھر دوسرا گیم شروع کر لیت�,یار بہت شکریہ! بس یہ گیم ختم ہو گیا، پھر کچھ دیر آرام کر لیتا
10,Urdu,Refusing Offers,ماموں,بھانجی,High,Formal,Deference,Negative,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,جی ماموں، یہ رقم بہت شکریہ، لیکن آپ کی پیشکش کا بے حد شک,ماموں جان، بہت شکریہ، مگر آپ کی محبت کا بے حد شکریہ، یہ رقم میرے,ماموں جان، آپ کی محبت کا بے حد شکریہ، مگر یہ رقم رکھ لیجیے، کبھی ضر
