ID,Language,Topic,User Role,Model Role,Power Distance,Register,Pragmatic Genre,Sensitivity,User Utterance,Context,Gold Response,Qwen_Response,LLaMA_Response,Qalb_Response
1,Urdu,Refusing Offers,میزبان,مہمان,Medium,Formal,Gratitude + indirect refusal,Positive,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,سر، اگر تمہاری بہت ہے تو میرے لیے یہی تھی۔ آرام کریں، میں,بہت شکریہ، ابھی آئندہ میں لے لوں گا۔,بہت شکریہ! آج مجھے بہت یہی کافی ہے۔ آپ کی مہربانی اپ
2,Urdu,Refusing Offers,دوست,دوست,Low,Informal,Polite refusal,Negative,اور چائے بنوا دوں؟,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,بہت شکریہ! آپ فکر نہ کریں، یار۔ मیں آسانی سے یہیں چ,بہت مبارک ہو۔ آج سارا کام مکمل کر کے آ گيا، اس کے لیے یہ چائ�,جی، اباری۔ اس سے زائد نہیں۔ آپ کی مہربانی اپنی جگہ، مگر میں دوب
3,Urdu,Refusing Offers,ساس,بہو,High,Formal,Deferential refusal,Positive,بیٹا، اور روٹی لے لو۔,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,سر، یار! یہی کافی ہے، اپ نے بھی پہلے میں سے ڈھونڈی۔,جی ساسی، اب تک کی بات تم آری ہے۔,سسر، یار، ابھی میں کافی کھا چکا ہوں، اس لیے مزید روٹی نہی�
4,Urdu,Refusing Offers,بزرگ,نوجوان,High,Formal,Respectful hesitation,Positive,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,جی، اس کے واقعی فائدے ہیں۔ آپ کی بہت شکریہ۔,سر، آپ کی بہت مہربانی، مگر میں رکھ لوں گا، اگر ضرورت پڑی تو ضرور ل�,سر، آپ کی بہت مہربانی، مگر معذرت چاہتی ہوں۔ میں زحمت ن�
5,Urdu,Refusing Offers,میزبان,مہمان,Medium,Formal,Face-saving refusal,Negative,اور میٹھا لے لیجیے۔,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,شکریہ میزبان سIR، بس آگے چلوں گا۔,بہت مبارک ہو۔ آئندہ ضرور دیتا ہوں گا۔,بہت شکریہ! اس سے میرا دل یار، اب进一步 نہیں چاہئے۔ آپ کی م
6,Urdu,Refusing Offers,استاد,طالب علم,Medium,Formal,Careful refusal,Neutral,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,ارے، اگر آپ کی بہت ہو تو میں سنبھال لوں گا، ابھی فکر نہ ک,سر، میں آپ کی پیش کش اپنی رہنمائی کے لیے بہت شکریہ! اگر میں نے کچ,جی، اگر آپ چاہیں تو میں مزید وضاحت کر سکتا ہوں۔ آئندہ وقت ضرورت
7,Urdu,Refusing Offers,خالہ,بھانجا,High,Formal,Respectful refusal,Negative,رات یہیں رک جاؤ، صبح چلے جانا۔,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,بہت شکریہ چیज! تمہاری بہت مہربانی۔ آئندہ بھی رک لو، یار,خالہ جان، اس کی بہت مہربانی، مگر میں معذرت چاہتا ہوں، می�,خالہ جان، آپ کی مہربانی اپنی جگہ، مگر میں آپ کی فکر کرنے پر زحمت نہی
8,Urdu,Refusing Offers,پڑوسی,پڑوسی,Medium,Formal,Indirect refusal,Neutral,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,بہت شکریہ! تمہاری بہت مہربانی۔ آپ فکر نہ کریں، ابھی ٹ,بہت مہربانی، آپ زحمت نہ کریں۔ میں سارا کام خود مکمل کر لوں گا، اگر ضر,بہت شکریہ! آپ کی مہربانی اپنی جگہ، مگر معذرت چاہتی ہوں،
9,Urdu,Refusing Offers,دوست,دوست,Low,Informal,Light refusal,Neutral,چل یار، ایک اور گیم کھیل لیتے ہیں۔,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,بہت شکریہ یار! آپہمرد، یہی معاملہ بھول لو۔,بہت مبارک ہو۔ پہلے کے سے کھیل سے بہتر میں کھیل,شکریہ یار، تماری تجویز قبول۔ چلو، ابھی ایک اور گیم کھیلتے ہیں
10,Urdu,Refusing Offers,ماموں,بھانجی,High,Formal,Deference,Negative,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,آنے کے لیے بہت شکریہ۔ آپ کی رہنمائی میں سارا دل سے، فکر ن,مامو جان، آپ کی بہت مہربانی، مگر ابھی میں گھر پر رک جاؤں گی اور اپنی,ماموں جان، میں سارا کام سنبھال لوں گی، آپ فکر نہ کریں۔ اگر ضرورت پڑی تو ضر
