ID,Language,Topic,User Role,Model Role,Power Distance,Register,Pragmatic Genre,Sensitivity,User Utterance,Context,Gold Response,Qwen_Response,LLaMA_Response,Qalb_Response
1,Urdu,Refusing Offers,میزبان,مہمان,Medium,Formal,Gratitude + indirect refusal,Positive,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,سر، بس یہ کام ہے گر اگر ان شاء اللہ بہت شکریہ، حال میں ضرور,بہت شکریہ، بس ختم ہو گیا ہے۔,سر، بہت شکریہ، مگر مجھے کافی تکمیل ہو گئی ہے۔ آپ کی اچھ
2,Urdu,Refusing Offers,دوست,دوست,Low,Informal,Polite refusal,Negative,اور چائے بنوا دوں؟,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,سر، بس کام ہو جائے تو ان شاء اللہ پڑھ لوں۔,جی یار، چائے بنوا لوں!,جی یار، بس کام مکمل کر لوں، پھر چائے بنوا لیتا ہوں۔ (جی بالکل درست �
3,Urdu,Refusing Offers,ساس,بہو,High,Formal,Deferential refusal,Positive,بیٹا، اور روٹی لے لو۔,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,ابّی، تمہارا ضروری نہیں ہے، ان شاء اللہ بس یہ کافی ہے۔,ابّا جان، بس ختم ہو گیا، نہیں تو مزید رہنے دیجیے۔,ابّا جان، بہت شکریہ، مگر مجھے کافی کام سنڈار کرنا ہے۔ آپ کی محبت ک
4,Urdu,Refusing Offers,بزرگ,نوجوان,High,Formal,Respectful hesitation,Positive,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,جی سر، یہ کتاب میرے پاس رکھ لیتا ہوں، ان شاء اللہ میں کام آؤں,ابو، بہت شکریہ، مگر بس یہ ملاقات ختم ہونے والی ہے، تو می�,جی سر، بہت شکریہ، مگر مجھے اس وقت دیگر ضروری امور دھیان میں لانا ہوں گا
5,Urdu,Refusing Offers,میزبان,مہمان,Medium,Formal,Face-saving refusal,Negative,اور میٹھا لے لیجیے۔,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,بہت شکریہ! ان شاء اللہ مگر کچھ نہ لیتا، تمہاری محبت کا بے حد شکر,بہت شکریہ، بس ختم ہو گیا۔,جی سر، بہت شکریہ! یہ تو آپ کی اچھی خدمت کا زیادہ حصہ رہ گیا، برا�
6,Urdu,Refusing Offers,استاد,طالب علم,Medium,Formal,Careful refusal,Neutral,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,بہت شکریہ سر، ان شاء اللہ میری ضرور تھی۔ آئندہ میری کام کا بہتر,جی سر، یہ ضروری نہیں ہے کہ آپ اس وقت تک پوچھنے دیکھیں،,جی سر، بہت شکریہ! بس سبق مکمل ہو گیا، اگر کوئی حصہ سمجھ میں نہ
7,Urdu,Refusing Offers,خالہ,بھانجا,High,Formal,Respectful refusal,Negative,رات یہیں رک جاؤ، صبح چلے جانا۔,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,جی مامा، ضروری نہیں، براہِ کرم میرا بچھادہ بڑھانے دیجیے۔,ابو، آپ کی محبت کا بے حد شکریہ، مگر میں ضرور چلا جاؤں گا، بس یہ کام,جی خالہ، بہت شکریہ، مگر میں آج کل کا کام مکمل کر لوں، پھر کچھ د
8,Urdu,Refusing Offers,پڑوسی,پڑوسی,Medium,Formal,Indirect refusal,Neutral,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,نہیں بہت شکریہ، ان شاء اللہ میری ضروریات مکمل ہوں، اگر کوئ,نہیں یار، شکریہ! بس یہ کام مکمل ہو گیا، تو میں بھی کچھ لیت,ضرور یار، تمہارا بہت شکریہ! بس کام مکمل ہو گیا، تمہارا بہت شکری�
9,Urdu,Refusing Offers,دوست,دوست,Low,Informal,Light refusal,Neutral,چل یار، ایک اور گیم کھیل لیتے ہیں۔,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,اب یار، ان شاء اللہ بہتر گیم کھیل لوں۔,یار، بس تقریباً ختم ہو گیا، ایک اور گیم تو کھیل لیجیے!,بہت شکریہ یار، بس کام مکمل کر لوں، پھر ایک اور گیم کھیل لیتے ہی
10,Urdu,Refusing Offers,ماموں,بھانجی,High,Formal,Deference,Negative,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,ابّی یار، ضرور کر لو، مگر امید ہے نہیں پڑنا چاہیے۔,ابّا جان، آپ کی دعائیں ہوں، نہ تو میں اس رقم کا محتاج ہوں اور ن,ماموں جان، آپ کی محبت کا بے حد شکریہ، مگر مجھے اس کی تکلیف نہیں کرنی
