ID,Language,Topic,User Role,Model Role,Power Distance,Register,Pragmatic Genre,Sensitivity,User Utterance,Context,Gold Response,Qwen_Response,LLaMA_Response,Qalb_Response
1,Urdu,Refusing Offers,میزبان,مہمان,Medium,Formal,Gratitude + indirect refusal,Positive,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,دعوت میں گرم سالن پیش کرنا خوبصورت ہے، میزبانی کا بہت شکریہ,سر، شکریہ، ابھی اتنا پانی ہوگا۔,سر، بہت شکریہ، لیکن ابھی اتنا گرم نہیں ہے۔ میں صرف تھو�
2,Urdu,Refusing Offers,دوست,دوست,Low,Informal,Polite refusal,Negative,اور چائے بنوا دوں؟,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,ٹھیک ہے، اب تھیموں پر چائے بناوں گا۔,جی، شکریہ! ابھی بنوں گا۔,سر، بہت شکریہ، مگر ابھی اتنا نہیں ہوگا۔ میں آدھا ک
3,Urdu,Refusing Offers,ساس,بہو,High,Formal,Deferential refusal,Positive,بیٹا، اور روٹی لے لو۔,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,جی چاہیے، بس لوں گا۔,جی ساس جان، شکریہ۔ ابھی کافی ہوں، مزید نہیں پلا دینا پڑے,سر، بہت شکریہ، لیکن ابھی اتنا کام باقی نہیں ہے، میں خود لے
4,Urdu,Refusing Offers,بزرگ,نوجوان,High,Formal,Respectful hesitation,Positive,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,سر، شکریہ، لیکن اس سب کی ضرورت نہیں ہے۔ آپ کا بہت شکر,جی سر، شکریہ۔ یہ کتاب میں رکھ لوں گا۔,سر، آپ کی بہت مہربانی، لیکن ابھی اتنا کام باقی نہیں ہے۔ میں
5,Urdu,Refusing Offers,میزبان,مہمان,Medium,Formal,Face-saving refusal,Negative,اور میٹھا لے لیجیے۔,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,دعوت سے زحمت نہ کریں، میٹھا لیجیے۔,ضرور، شکریہ!,سر، بہت شکریہ، لیکن ابھی اتنا میٹھا لے لوں گا تو میری صحت خراب ہ
6,Urdu,Refusing Offers,استاد,طالب علم,Medium,Formal,Careful refusal,Neutral,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,ستاد جان، بہت شکریہ، لیکن ابھی صرف تھوڑا سا کام باقی ہے۔,ضرور، اگر آپ نے میری باتیں مکمل طور پر سمجھ لی ہوں گا تو آپ فکر نہ کریں�,سر، بہت شکریہ، مگر ابھی اتنا سامح نہیں ہے۔ میں خود اس سبق
7,Urdu,Refusing Offers,خالہ,بھانجا,High,Formal,Respectful refusal,Negative,رات یہیں رک جاؤ، صبح چلے جانا۔,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,خالہ جان، بہت شکریہ، لیکن میں ابھی صبح چلنا پڑتا ہے۔,جی خالہ، ان شاء اللہ میں رات رھونے کا بہت شکریہ۔,سر، شکریہ، لیکن ابھی اتنا وقت باقی نہیں ہے، میں بالکل ٹھیک �
8,Urdu,Refusing Offers,پڑوسی,پڑوسی,Medium,Formal,Indirect refusal,Neutral,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,سر، بہت شکریہ، ابھی اتنا لہج نہیں ہے۔,جی پڑوسی، شکریہ! اگر اور بھی کچھ چاہیے ہو تو بتا دیجیے گا,سر، بہت شکریہ، مگر ابھی اتنا کام باقی نہیں ہے، میں خود ہ
9,Urdu,Refusing Offers,دوست,دوست,Low,Informal,Light refusal,Neutral,چل یار، ایک اور گیم کھیل لیتے ہیں۔,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,ٹھیک ہے یار، ابھی تکھا رہ لوگیں گا۔ ایک اور گیم کھ,ٹھیک ہے، یار، میں تھوڑا سا ٹھیک نہیں ہوں،,ٹھیک ہے، آؤ ایک اور گیم کھیل لیتے ہیں۔ ان شاء اللہ، می
10,Urdu,Refusing Offers,ماموں,بھانجی,High,Formal,Deference,Negative,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,جی ٹھیک ہے ماموں سے بہت زحمت نہیں ہوگی، ابھی تک رہ,سر، شکریہ، مگر ابھی اتنی ضرورت نہیں ہے۔,مامو جان، شکریہ، لیکن اس سب کی ضرورت نہیں ہے۔ میں بالکل اچھا �
