ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation,Response_D,D_Relational_Alignment,D_Indirectness,D_Facesaving,D_Cultural_Appropriateness,D_Directness_Threat,D_Hierarchy_Violation
1,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,,,,,,,"""سالن لے لیجیے، ابھی گرم ہے۔""",,,,,,,"""شکر ہوگا، لیکن میں ابھی کھایا ہی نہیں ہوں، ک",,,,,,,"""ٹھیک ہے، میں لے لیا گا۔ شکریہ کردار بھائی۔""",,,,,,,"""بہت شکریہ، مگر میں نے پہلے ہی کافی کھا لیا ہے۔""",,,,,,
2,دوست,دوست,Low,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,,,,,,,"""جی، میں نے ابھی بنایا ہے، بس ابھی کاغذ کے کپ بنا رہا �",,,,,,,"""جی، چائے بنایا کروں گا۔""",,,,,,,"""نہیں یار، شکریہ! مجھے کافی ہے، میں نے پہلے ہی پی لی ہے۔""",,,,,,,"""ٹھیک ہے، میں ابھی چائے بنातا ہوں۔""",,,,,,
3,ساس,بہو,High,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,,,,,,,"""شکریہ ساس جی، میں نے ابھی کافی کھا لیا ہے۔""",,,,,,,"""شکریہ، اماں جان، لیکن ابھی کافی روٹی ہے، میں خود سنبھال لیتا �",,,,,,,"""جی ساس جان، بہت شکریہ، لیکن ابھی کافی ہے۔""",,,,,,,"""میں یہ بھی بھیج رہی ہوں، ساس جان۔""",,,,,,
4,بزرگ,نوجوان,High,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,,,,,,,"""دستور سے آپ کی بہت مہربانی، لیکن میں نے ابھی ایک کتابیں پڑھ",,,,,,,"""بزرگ صاحب، بہت شکریہ، لیکن مجھے ابھی کتاب کی ضرورت نہیں ہے�",,,,,,,"""بہت شکریہ، مگر میں اسے آپ کے پاس ہی رکھنا چاہوں گا، آپ کی یادگار ہے۔""",,,,,,,"""ٹھیک ہے، مگر آپ کو اس کی قیمت میں مہربانی ہوگی۔""",,,,,,
5,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,اور میٹھا لے لیجیے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,,,,,,,"""شکریہ، آپ کی دعوت کا بہت شکریہ۔""",,,,,,,"""شکر ہے، میٹھا بہت مزے کا تھا۔""",,,,,,,"""بہت شکریہ، مگر میں نے پہلے ہی کافی کھا لی ہے۔""",,,,,,,"""ٹھیک ہے، میں لے لیا گا۔ مزید میٹھا نہیں چاہتا۔""",,,,,,
6,استاد,طالب علم,Medium,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,,,,,,,"""ستاد جان، میں اپنے کام کے بارے میں بہت مطمئن ہوں، لیکن ا",,,,,,,"""شکریہ سر، میں نے سب سمجھ لیا ہے، مگر اگر ضرورت پڑی تو آپ سے پوچھ لوں گا۔""",,,,,,,"""جی سر، یہ سمجھ آ گیا ہے، آپ کی بہت مہربانی۔""",,,,,,,"""شکریہ استاد، لیکن اب سبق ختم ہونا باقی ہے، میں خود اسے مکمل کر لوں گ",,,,,,
7,خالہ,بھانجا,High,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,رات یہیں رک جاؤ، صبح چلے جانا۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,,,,,,,"""خالہ، آپ کی پیشکش کا بہت شکریہ، لیکن مجھے آج ہی واپس جانا ہے۔""",,,,,,,"""خالہ جان، آپ کی بہت مہربانی، لیکن میں جلدی واپس جانا چاہتا ہو",,,,,,,"""خالہ جان، بہت شکریہ، لیکن ابھی تو میرے پاس کچھ اور کام باقی ہے",,,,,,,"""ٹھیک ہے خالہ، میں رات یہیں رکاں گا، صبح چلے جانے ک",,,,,,
8,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,,,,,,,"""ٹھیک ہے، بہت شکریہ، لیکن میں نے اس کے لیے کسی کی پ",,,,,,,"""بہت مہربانی، لیکن مجھے کچھ نہیں چاہیے۔""",,,,,,,"""شکر ہوگا آپ کی سہولت، لیکن ابھی کچھ کام باقی ہیں، اور میں",,,,,,,"""شکریہ، لیکن ابھی صرف تھوڑا سا کام باقی ہے، میں خود مکمل کر لوں گ",,,,,,
9,دوست,دوست,Low,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,چل یار، ایک اور گیم کھیل لیتے ہیں۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,,,,,,,"""کیوں نہیں! یہ تو زبردست آئیڈیا ہے، چلو شروع کرتے ہیں!""",,,,,,,"""جی، یہاں کے پاس ایک اور گیم ہے، تو کیسے کھیلیں گے؟""",,,,,,,"""جی، یقیناً، مگر ابھی کچھ دیر ہوگیا ہے، ایک دیر کے بعد ک",,,,,,,"""ٹھیک ہے بیٹا، ایک اور گیم کھیلیں گے۔""",,,,,,
10,ماموں,بھانجی,High,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,,,,,,,"""ٹھیک ہے ماموں، بہت شکریہ، لیکن میں اس کے لیے ذہانت ن",,,,,,,"""ماموں، آپ کی مہربانی کا بہت شکریہ، لیکن مجھے اس کی ضرورت نہیں ہے۔""",,,,,,,"""شکریہ ماموں جان، آپ کی بہت مہربانی ہے، لیکن یہ رقم ضرورت نہ",,,,,,,"""شکریہ ماما، لیکن مجھے لگتا ہے کہ ابھی اس کی ضرورت نہیں �",,,,,,
