ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation,Response_D,D_Relational_Alignment,D_Indirectness,D_Facesaving,D_Cultural_Appropriateness,D_Directness_Threat,D_Hierarchy_Violation
1,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,,,,,,,"""میزبانی، آپ کی بہت مہربانی، مگر مجھے ابھی تک کافی مل گیا۔""",,,,,,,"""شکریہ، آپ کی مہربانی کافی ہے۔ میں اسے لے لیتا ہوں۔""",,,,,,,"""جی، شکر ہو۔ ابھی لیتا ہوں۔""",,,,,,,"""بہت شکریہ، مگر میں نے ابھی کافی کھا لیا ہے۔""",,,,,,
2,دوست,دوست,Low,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,,,,,,,"""بھائی، مزید چائے پیسیں ہمیں بہت ملکی ہوں، مگر آپ",,,,,,,"""نہیں یار، شکریہ! میں نے کافی پی لی ہے، بس یہی کافی ہے۔""",,,,,,,"""شکر گزار!"" <<1>> [1] (1,0) (1,0) (1,0) (1,0) (1,0) (1,",,,,,,,"""جی، چلو چائے بناتی ہوں۔""",,,,,,
3,ساس,بہو,High,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,,,,,,,"""میں بہت پرانی ہوں، آپ کی مزید روٹی نہیں پڑی گی۔""",,,,,,,"""ساسی، آپ کی بہت مہربانی، مگر میں نے کھانے میں زیادہ روٹی کھ",,,,,,,"""جی امی، کافی ہو گئی، ابھی کھانا کھایا ہیں، روٹی نہی�",,,,,,,"""شکریہ ساس جی، میں نے ابھی کافی کھا لیا ہے، آپ فکر نہ کریں۔""",,,,,,
4,بزرگ,نوجوان,High,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,,,,,,,"""بہت شکریہ، آپ کی مہربانی ہے، مگر میں اسے آپ کے پاس ہی رہنے دوں گا۔""",,,,,,,"""کتاب کے لیے آپ کی بہت مہربانی، لیکن مجھے ضرورت نہیں ہے",,,,,,,"""جی، آپ کی بہت مہربانی، مگر مجھے یہ کتاب نہیں چاہیے۔",,,,,,,"""جی، ممنون۔ آپ کی کتاب بہت مفید ہوگی۔""",,,,,,
5,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,اور میٹھا لے لیجیے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,,,,,,,"""میٹھا مانگنے کے لیے بہت شکریہ، لیکن ابھی میں زیادہ نہی",,,,,,,"""بہت شکریہ، مگر میں نے پہلے ہی کافی کھا لیا ہے۔""",,,,,,,"""شکر ہوے، آپ کی مہربانی کا شکریہ۔""",,,,,,,"""شکریہ، بیٹا، میں لے لیا گیا۔""",,,,,,
6,استاد,طالب علم,Medium,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,,,,,,,"""جی سر، اگر ضرورت ہو تو مزید وضاحت کی ضرورت ہو تو ضرور کروں گا۔""",,,,,,,"""سر، آپ کی پیشکش کا شکریہ، مگر میں نے سب سمجھ لیا ہے۔""",,,,,,,"""جی، ممنون جانتا ہوں کہ آپ کی مدد کرتے رہیں گے۔ کسی وقت میں",,,,,,,"""جی استاد، بس ابھی کچھ سوالات حل کرنے کے لیے آئی۔""",,,,,,
7,خالہ,بھانجا,High,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,رات یہیں رک جاؤ، صبح چلے جانا۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,,,,,,,"""جی، میں رات یہیں رک جाऊں گی، صبح کیلئے آرہوں گی۔",,,,,,,"""خالہ، بہت شکریہ، مگر مجھے آج ہی واپس جانا ہے۔""",,,,,,,"""خالہ جان، آپ کی بہت مہربانی ہے، لیکن میں ابھی چاہتا ہ",,,,,,,"""خالی جان، بس صبح چلے جانا۔""",,,,,,
8,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,,,,,,,"""شکریہ، مگر مجھے کچھ نہیں چاہیے۔ آپ کی مہربانی کا بہت شکریہ!""",,,,,,,"""شکر ہوے، آپ کی بہت مہربانی، لیکن مجھے یہی کافی ہے،",,,,,,,"""بہت ممنوع ہو، جیسے ہوا آپ کی پیشکش سے لانے کیا گا۔ م",,,,,,,"""جی، بس اب کافی ہو گیا، کچھ دیر آرام کر لے۔ باقی سامان میں اٹھا لیتا",,,,,,
9,دوست,دوست,Low,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,چل یار، ایک اور گیم کھیل لیتے ہیں۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,,,,,,,"""کیوں نہیں! یہ تو مزے دار ہوگا، چلو شروع کرتے ہیں!""",,,,,,,"""جی یار، ابھی کھیلتے ہیں، کچھ دیر مزید کھیلتے ہیں",,,,,,,"""جبت چلیں گے، میں بھی آگئے گا۔""",,,,,,,"""جی، کچھ دیر مزے کرانے کے لیے کھیلیں گے۔""",,,,,,
10,ماموں,بھانجی,High,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,,,,,,,"""ماموں جان، آپ کی بہت مہربانی، مگر میں نے پہلے ہی اپن�",,,,,,,"""جی، ماموں جان، آپ کی بہت مہربانی۔ یہ رقم ضرورت پڑنے پر ضرور استعمال",,,,,,,"""مамوں جان، آپ کی مہربانی میں کافی ہے، مگر اگر آپ کی پیش",,,,,,,"""ماموں، آپ کی مہربانی کا بہت شکریہ، مگر مجھے اس کی ضرورت نہیں ہے۔""",,,,,,
