ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,Gold_Relational _Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation,Response_D,D_Relational_Alignment,D_Indirectness,D_Facesaving,D_Cultural_Appropriateness,D_Directness_Threat,D_Hierarchy_Violation
1,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,4,4,4,4,0,0,"""میزبانی، آپ کی بہت مہربانی، مگر مجھے ابھی تک کافی مل گیا۔""",2,2,2,1,0,0,"""شکریہ، آپ کی مہربانی کافی ہے۔ میں اسے لے لیتا ہوں۔""",2,2,2,1,0,0,"""جی، شکر ہو۔ ابھی لیتا ہوں۔""",2,2,2,2,0,0,"""بہت شکریہ، مگر میں نے ابھی کافی کھا لیا ہے۔""",3,3,3,3,0,0
2,دوست,دوست,Low,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,3,4,4,4,0,0,"""بھائی، مزید چائے پیسیں ہمیں بہت ملکی ہوں، مگر آپ",1,1,1,1,0,0,"""نہیں یار، شکریہ! میں نے کافی پی لی ہے، بس یہی کافی ہے۔""",0,0,0,0,0,1,"""شکر گزار!"" <<1>> [1] (1,0) (1,0) (1,0) (1,0) (1,0) (1,",3,3,3,3,0,0,"""جی، چلو چائے بناتی ہوں۔""",2,2,2,1,0,1
3,ساس,بہو,High,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,4,4,4,4,0,0,"""میں بہت پرانی ہوں، آپ کی مزید روٹی نہیں پڑی گی۔""",3,3,3,3,0,0,"""ساسی، آپ کی بہت مہربانی، مگر میں نے کھانے میں زیادہ روٹی کھ",2,2,2,2,0,1,"""جی امی، کافی ہو گئی، ابھی کھانا کھایا ہیں، روٹی نہی�",2,2,2,1,0,0,"""شکریہ ساس جی، میں نے ابھی کافی کھا لیا ہے، آپ فکر نہ کریں۔""",1,1,1,1,0,0
4,بزرگ,نوجوان,High,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,4,4,4,4,0,0,"""بہت شکریہ، آپ کی مہربانی ہے، مگر میں اسے آپ کے پاس ہی رہنے دوں گا۔""",2,2,2,1,0,0,"""کتاب کے لیے آپ کی بہت مہربانی، لیکن مجھے ضرورت نہیں ہے",2,2,2,1,0,0,"""جی، آپ کی بہت مہربانی، مگر مجھے یہ کتاب نہیں چاہیے۔",3,3,3,3,0,0,"""جی، ممنون۔ آپ کی کتاب بہت مفید ہوگی۔""",1,1,1,1,0,0
5,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,اور میٹھا لے لیجیے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,4,4,4,4,0,0,"""میٹھا مانگنے کے لیے بہت شکریہ، لیکن ابھی میں زیادہ نہی",2,2,2,2,0,0,"""بہت شکریہ، مگر میں نے پہلے ہی کافی کھا لیا ہے۔""",1,1,1,1,0,0,"""شکر ہوے، آپ کی مہربانی کا شکریہ۔""",3,3,3,3,0,0,"""شکریہ، بیٹا، میں لے لیا گیا۔""",2,2,2,2,0,1
6,استاد,طالب علم,Medium,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,4,4,4,4,0,0,"""جی سر، اگر ضرورت ہو تو مزید وضاحت کی ضرورت ہو تو ضرور کروں گا۔""",3,3,3,3,0,0,"""سر، آپ کی پیشکش کا شکریہ، مگر میں نے سب سمجھ لیا ہے۔""",3,3,3,3,0,0,"""جی، ممنون جانتا ہوں کہ آپ کی مدد کرتے رہیں گے۔ کسی وقت میں",3,3,3,3,0,0,"""جی استاد، بس ابھی کچھ سوالات حل کرنے کے لیے آئی۔""",1,1,1,1,0,1
7,خالہ,بھانجا,High,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,رات یہیں رک جاؤ، صبح چلے جانا۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,4,4,4,4,0,0,"""جی، میں رات یہیں رک جाऊں گی، صبح کیلئے آرہوں گی۔",3,3,3,3,0,0,"""خالہ، بہت شکریہ، مگر مجھے آج ہی واپس جانا ہے۔""",1,1,1,0,0,0,"""خالہ جان، آپ کی بہت مہربانی ہے، لیکن میں ابھی چاہتا ہ",1,1,1,1,0,0,"""خالی جان، بس صبح چلے جانا۔""",1,1,1,1,0,1
8,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,4,3,4,4,0,0,"""شکریہ، مگر مجھے کچھ نہیں چاہیے۔ آپ کی مہربانی کا بہت شکریہ!""",2,2,2,1,0,0,"""شکر ہوے، آپ کی بہت مہربانی، لیکن مجھے یہی کافی ہے،",3,3,3,3,0,0,"""بہت ممنوع ہو، جیسے ہوا آپ کی پیشکش سے لانے کیا گا۔ م",3,3,3,3,0,0,"""جی، بس اب کافی ہو گیا، کچھ دیر آرام کر لے۔ باقی سامان میں اٹھا لیتا",2,2,2,2,0,0
9,دوست,دوست,Low,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,چل یار، ایک اور گیم کھیل لیتے ہیں۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,3,4,4,4,0,0,"""کیوں نہیں! یہ تو مزے دار ہوگا، چلو شروع کرتے ہیں!""",3,3,3,3,0,0,"""جی یار، ابھی کھیلتے ہیں، کچھ دیر مزید کھیلتے ہیں",3,3,3,3,0,0,"""جبت چلیں گے، میں بھی آگئے گا۔""",2,2,2,2,0,0,"""جی، کچھ دیر مزے کرانے کے لیے کھیلیں گے۔""",1,1,1,1,0,0
10,ماموں,بھانجی,High,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,4,4,4,4,0,0,"""ماموں جان، آپ کی بہت مہربانی، مگر میں نے پہلے ہی اپن�",2,2,2,2,0,0,"""جی، ماموں جان، آپ کی بہت مہربانی۔ یہ رقم ضرورت پڑنے پر ضرور استعمال",3,3,3,3,0,0,"""مамوں جان، آپ کی مہربانی میں کافی ہے، مگر اگر آپ کی پیش",2,2,2,0,0,0,"""ماموں، آپ کی مہربانی کا بہت شکریہ، مگر مجھے اس کی ضرورت نہیں ہے۔""",1,1,1,1,0,0
11,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ ملاقات کے اختتام پر میزبان آپ کی مزید خدمت کی پیشکش کرتا ہے۔,اور کچھ چاہیے ہو تو بتائیے گا۔,بہت شکریہ، آپ نے پہلے ہی بہت عزت اور توجہ دی ہے، مزید کسی چیز کی ضرورت نہیں اب اجازت دیجیے۔,4,4,4,4,0,0,"""بہت مبارک ہو، میں کچھ مہربانی کی نیاز نہیں۔ مزید کچھ کر",4,4,4,4,0,0,"""بہت شکریہ، آپ کی مہمان نوازی کافی ہے۔""",2,2,2,2,0,0,"""میزبان جان، آپ کی بہت مہربانی، مگر ابھی میں نے اپنے کام مکمل کر لیے",2,2,2,2,0,0,"""جی، آپ کی بہت مہربانی، مگر ابھی کچھ نہیں چاہیے۔ آپ کی",2,2,2,2,0,0
12,دوست,دوست,Low,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ جم جانے کی پیشکش کرتا ہے۔,چل یار، میرے ساتھ جم چل۔,یار، آج تو نہیں ہو پائے گا، لیکن کسی دن ضرور چلیں گے۔,3,3,4,4,0,0,"""جی، یار، میں آپ کے ساتھ چلا جاؤں گا۔""",3,3,3,3,0,0,"""یار، بہت مزہ آئے گا، مگر آج میں نہیں جا سکوں گا۔ اگلی بار ضرور چلیں گے!""",4,4,4,4,0,0,"""بہت مبارک ہو، آئیں جم جانے کے لیے۔""",1,1,1,1,0,0,"""ارے، تم آ گئے، بس تمہاری بہت بہت تعریف کروں گا۔""",2,2,2,0,0,1
13,بزرگ خاتون,نوجوان,High,آپ ایک خاندانی دعوت میں موجود ہیں۔ کھانے کے دوران بزرگ خاتون آپ کو مزید کھانا لینے پر زور دیتی ہیں۔,بیٹا، تھوڑا سا اور کھا لو، بہت کم کھایا ہے۔,آپ کی محبت کا بہت شکریہ، میں نے بھرپور کھانا کھایا ہے، اب واقعی مزید گنجائش نہیں رہی۔,4,4,4,4,0,0,"""جی امی، بس ابھی کچھ کھا لوں گا، پھر آپ کی خدمت میں حاضر ہوں گا�",2,2,2,2,0,1,"""شکریہ آنٹی، مگر میں نے کافی کھا لیا ہے۔ آپ کی مہربانی ہے!""",2,2,2,2,0,0,"""مам جان، امید ہے تم کھانے کی صحت پر مطمئن ہوئیں، میں تھو",1,1,1,1,0,1,"""جی، امی، ابھی کچھ اور کھا لوں گی، آپ کی دعوت کا شکر ہے کہ مجھ",4,4,4,4,0,0
14,میزبان,مہمان,Medium,آپ ایک ملاقات میں مہمان ہیں۔ گفتگو کے دوران میزبان آپ کو مزید چائے پیش کرنے کی پیشکش کرتا ہے۔,چائے دوبارہ ڈال دوں؟,بہت شکریہ، چائے بہت اچھی تھی، لیکن فی الحال یہی کافی ہے۔,4,4,4,4,0,0,"""جی، چائے دوبارہ ڈالیں۔""

---",3,3,3,3,0,0,"""جی، کرو۔""",1,1,1,1,0,0,"""نہیں، شکریہ! میں نے کافی پی لی ہے۔""",1,1,1,0,1,0,"""بھائی، میں ایک بار کافی ہوں۔ آپ کی مہربانی کو بہت شکری",2,2,2,1,0,0
15,چچا,بھتیجا,High,آپ اپنے چچا کے گھر آئے ہوئے ہیں۔ واپسی کے وقت وہ آپ کو رات وہیں قیام کرنے کی پیشکش کرتے ہیں۔,رات یہیں رک جاؤ، صبح آرام سے چلے جانا۔,چچا جان، آپ کی بہت مہربانی بہت مزہ آیا، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,4,4,4,4,0,0,"""چچا جان، میں اپنا کام کیا جانے کے لیے واپسی کر رہا ہوں،",3,3,3,3,0,0,"""جی، چچا جان، مگر مجھے اپنے گھر واپس جانے کی ضرورت ہے۔""",2,2,2,2,0,0,"""چچا جان، بہت شکریہ، مگر مجھے آج واپس جانا ہے۔""",3,3,3,3,0,0,"""جی چچا جان، آپ کی بہت مہربانی، مگر میں ابھی واپس چل جاؤں گا�",1,1,1,1,0,0
16,دوست,دوست,Medium,آپ اپنے دوست سے ملاقات کے دوران گفتگو کر رہے ہیں۔ بات چیت کے اختتام پر وہ آپ کو رات کے کھانے کی دعوت دیتا ہے۔,آج رات ہمارے ساتھ کھانا کھاؤ گے؟,بہت شکریہ یار، یہ تمہاری محبت ہے، کوشش کروں گا کہ ضرور آ سکوں۔,4,4,4,4,0,0,"""بلیں، میں آئیں گے۔ کیا کچھ خاص کھانے ہے؟""",2,2,2,2,0,0,"""جی، میں ضرور آؤں گا۔""",3,3,3,3,0,0,"""شکریہ، مگر آج مجھے کچھ اور مصروفیات ہیں۔""",1,1,1,1,0,0,"""جی، یقیناً، میں ضرور آؤں گا۔ آپ کی دعوت کا شکریہ!""",2,2,2,2,0,0
17,پڑوسی,پڑوسی,Medium,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ وہ آپ کو اپنے گھر کھانے کی دعوت دیتے ہیں۔,کل شام ہمارے گھر کھانے پر تشریف لائیے گا۔,بہت شکریہ، آپ کی دعوت میرے لیے باعثِ خوشی ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,4,4,4,4,0,0,"""جی، کل شام ہماری دعوت پر حاضر ہوں گے۔""",2,2,2,2,0,0,"""بہت شکریہ! ان شاء اللہ میں ضرور آؤں گا۔""",3,3,3,3,0,0,"""بہت مبارک ہو، آج کل آئیں گے۔""",1,1,1,0,0,0,"""جی، آپ کی دعوت کا شکریہ۔ کل ضرور آئیں گا، اگر کوئی مسئلہ نہ ہ",2,2,2,2,0,0
18,چچا,بھتیجا,High,آپ اپنے چچا سے ملاقات کے دوران گفتگو کر رہے ہیں۔ وہ آپ کو اتوار کے دن اپنے گھر کھانے کی دعوت دیتے ہیں۔,اتوار کو ہمارے گھر کھانے پر ضرور آنا۔,جی چچا جان، آپ نے یاد کیا یہ میرے لیے خوشی کی بات ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,4,3,4,4,0,0,"""جی، آئے گوں اتوار کے ہمراہ گھر چھوڑنے کے لیے۔""",3,3,3,3,0,0,"""جی چچا جان، اتوار کو ضرور آؤں گا۔""",1,1,1,1,0,0,"""جی چچا جان، اتوار کو ضرور آنا ہوں گا، آپ کی دعوت کا شکریہ۔""",2,2,2,2,0,0,"""چچا جان، بہت شکریہ! ان شاء اللہ میں آؤں گا۔""",4,4,4,4,0,0
19,دوست,دوست,Low,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنے ساتھ لنچ کرنے کی دعوت دیتا ہے۔,یار، آج لنچ ہمارے ساتھ ہی کر لو۔,بہت شکریہ یار، اچھا لگے گا، دیکھتا ہوں وقت کیسے بنتا ہے۔,4,4,4,4,0,0,"""شکریہ یار، مگر آج میں نے کچھ اور منصوبہ بنا رکھا ہے۔""",2,2,2,2,0,0,"""بہت مبارک ہو، یار۔ آج میں آئیں گی۔""",3,3,3,3,0,0,"""جی، میں ضرور آؤں گا، بس آپ کے پاس وقت نکالیں۔""",4,4,4,4,0,0,"""جی، یقیناً آج لنچ ہمارے ساتھ ہی کر لوں گا۔""",2,2,2,2,0,0
