ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation
1,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,4,4,4,4,0,0,سر، بہت شکریہ، مگر ابھی اتنا گرم نہیں ہے، میں اپنا کھانا مک,2,2,2,2,0,1,جی میزبان جان، ابھی اتنا زیادہ نہیں پلا دینا پڑے گا۔,2,2,2,2,0,0,دعوت میں آپ نے بسٹ ریسٹوران میں زحمت کر لی جانے والی سالن پیش ک,2,2,2,1,0,0
2,دوست,دوست,Low,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,3,4,4,4,0,0,ٹھیک ہے، آؤ مل کر چائے بناوں گا۔,2,2,2,1,0,0,ضرور، آؤ مل کر چائے بنلاتے ہیں۔ اس سے تمہیں ٹھیک ہ,2,2,2,1,0,0,ٹھیک ہے، پھر ایک کップ بھی بنوا دیتا ہوں۔,2,1,2,1,0,0
3,ساس,بہو,High,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,4,4,4,4,0,0,جی ساس جان، ان شاء اللہ اب کافی ہوں گی۔ آپ کی بہت مہربانی، پھر اس سب,3,3,3,3,0,0,سسر، اس بارے میں فکر نہ کریں، میں بالکل اچھا ہوں۔ روٹی ل�,2,2,2,2,0,1,ساجی، یہ بہت چاہیے ہے، یہ بیٹے کی لائی جانے والی ہے,1,1,1,0,0,1
4,بزرگ,نوجوان,High,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,3,3,4,4,0,0,سر، بہت شکریہ، لیکن میرے لیے ابھی اتنا کام باقی نہیں ہے،,2,3,3,2,0,1,"جی ]={
آپ کی بہت پیش کر liar، یہ کتاب میرے لیے اہم ہوگی۔",2,2,2,2,0,0,سر، آپ کی بہت مہربانی، لیکن اس کتاب کا بہت قیمتی ہوں گا، اسے می,2,2,2,2,0,1
5,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,اور میٹھا لے لیجیے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,4,4,4,4,0,0,ضرور، شکریہ! اب تو لگ رہا ہے مفت کا آنا جا رہا ہوں۔,2,2,2,2,0,0,دعوت کی بہت شکریہ، مگر ابھی تک بیٹھ لوں گا، آنے والے کچھ,2,2,2,2,0,0,جی میزبان، آپ کی بہت مہربانی، یہ تو اتنا ہی لے لوں گا۔,3,3,3,2,0,0
6,استاد,طالب علم,Medium,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,3,3,3,4,0,0,سر، بہت شکریہ، لیکن ابھی صرف اتنا مفت کا وضاحت میں دست چلانا,2,2,2,2,0,0,سر، بہت شکریہ، مگر ابھی اتنا سامنہ نہیں ہوا۔ میں مزید تلاش,3,3,3,3,0,0,جی سر، آپ کی بہت مہربانی، اب تک ٹھیک ہے، آپ کی رہنمائی پر بہت شک,3,3,3,3,0,0
7,خالہ,بھانجا,High,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,رات یہیں رک جاؤ، صبح چلے جانا۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,4,4,4,4,0,0,خالہ، شکریہ، لیکن میں بالکل ٹھیک ہوں، آپ فکر نہ کریں۔ ابھ,3,3,3,3,0,0,خالہ جان، آپ کی بہت مہربانی، لیکن ابھی اتنا समय باقی نہیں ہے�,3,3,3,3,0,0,الحمدللہ بخالہ، ابھی صبح ہے، یہ دل کا سفر زحمت ہوگی۔,2,2,2,2,0,0
8,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,3,3,3,4,0,0,جی، شکریہ، مگر ابھی اتنا کام نہیں ہوں گا۔,3,3,3,3,0,0,جی سر، بہت شکریہ۔ ابھی صبح تھی پر میں ابھی خرجی رہنے د,2,2,2,2,0,1,ضرور، شکریہ! اگر اور بھی آپ چاہیں گے تو میں لے آتا ہوں,3,3,3,2,0,0
9,دوست,دوست,Low,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,چل یار، ایک اور گیم کھیل لیتے ہیں۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,3,4,4,4,0,0,ٹھیک ہے یار، ابھی تک خوشی میں رہاہے، ایک بار ا�ٹے کھ,2,2,2,2,0,0,"ٹھیک ہے yar, آؤ ایک اور گیم کھیل لیتے ہیں۔ اس بار تو میں ج",3,3,3,3,0,0,ٹھیک ہے، اس سے پہلے آؤٹ لگ جائیے گا۔,3,3,3,3,0,0
10,ماموں,بھانجی,High,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,3,3,3,4,0,0,جی ماما جان، ان شاء اللہ ضرورت پڑنے پر رکھ لوں گا۔ آپ کی دعائیں کا ب�,3,3,3,3,0,0,ٹھیک ہے مامہ، ابھی صرف رقم رکھ لوں گا۔ کبھی ضرورت پڑ سکتا,2,2,2,2,0,0,ماموں جان، شکریہ، لیکن اس سب کی ضرورت نہیں ہے۔ میں بالکل ٹھیک,4,4,4,4,0,0
