ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation
1,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,,,,,,,ارے یار، تم آ گئے، ابھی آؤ، پہلے تھوک لو، پھر میں دیتا,,,,,,,بھائی، میں نے لے لیا ہوں۔,,,,,,,جی، پھوپھو گرمی کی وجہ بہت چاہتے ہیں۔ آپ کی مدد کی ج,,,,,,
2,دوست,دوست,Low,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,,,,,,,بھول لو، میں آپ کی بہت مدد کرتا ہو۔ آپ فکر نہ کریں، میں ا,,,,,,,جی، ابھی چائے بنا لوں گی۔ آپ کی بہت مہربانی۔ ان شاء اللہ میں خود,,,,,,,جی، میں بناؤں۔,,,,,,
3,ساس,بہو,High,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,,,,,,,جی دادی، ابھی لی۔ آپ فکر نہ کریں، میں دوبارہ آگے میں ضرور یاد دلاؤ�,,,,,,,چچا جان، آپ فکر نہ کریں، میں یاری کرتا ہوں۔,,,,,,,جی دادی، ابھی لے لوں گا۔,,,,,,
4,بزرگ,نوجوان,High,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,,,,,,,جی، میں ان کتاب کا حوصلہ افزائش کر لوں گا، جبکہ اس کی ضرورت آئ,,,,,,,جی، رکھ لوں گا۔ اس سے حتمی امتحان میں معاملہ میرے لیے بہت,,,,,,,جی، میں رکھ لوں گا۔ آپ کی بہت مہربانی۔ ان شاء اللہ میں جلدی پ,,,,,,
5,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,اور میٹھا لے لیجیے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,,,,,,,شکریہ! آپ کی بہت مہربانی۔ چلو، آئندہ میں خود سنبھال لوں گا�,,,,,,,آپ یار، میں اپنے سنبھال لوں گا، آپ بس پہلے کام کریں۔,,,,,,,جی، آپی، میٹھا لے لو۔,,,,,,
6,استاد,طالب علم,Medium,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,,,,,,,جی، اگر آپ چاہتے ہیں کہ میں مزید وضاحت کر دوں، تو KINDLY انٹرن,,,,,,,پھوپھو جان، اگر آپ کہلو اٹھ لوں گا، میں ضرور مدد کرتa ہو,,,,,,,پہلے یہی سوالات پوچھنے کے بعد ابھی میں سمجھ میں ہو�,,,,,,
7,خالہ,بھانجا,High,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,رات یہیں رک جاؤ، صبح چلے جانا۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,,,,,,,شاید میں نہیں رک لوں گا، ابھی تک کہ سنبھال لوں گا۔,,,,,,,جی، ابھی رات ہی رک جاؤں، آج کا سب سارا کام میں نے مکمل کر لوں گ,,,,,,,بھائی، میں سارا کام مکمل کر دیتا ہوں، پھوپھو کے ساتھ آگئی۔,,,,,,
8,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,,,,,,,جی، آپ کی بہت مہربانی۔ آپ زحمت نہ کریں، میں واقعی ضرورت پڑی تو اپنی مر,,,,,,,بس اسی طرح کی حوصلہ افزائی میں سارا کام ہوتا ہے، آپ فکر نہ ک,,,,,,,بھائی، میں سارا کام مکمل کر لوں گی، پھر آ گئی۔,,,,,,
9,دوست,دوست,Low,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,چل یار، ایک اور گیم کھیل لیتے ہیں۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,,,,,,,پھوپھو جان، میں مصروف ہوں، ابھی میں مصروفیت میں نہیں ہ,,,,,,,آنٹی، معذرت چاہتی ہوں، آپ فکر نہ کریں، جلدی آئیں، گ,,,,,,,شکریہ یار، تم آ گئے، ابھی آئندہ میں سونے پر سونا رکھ دوں گا,,,,,,
10,ماموں,بھانجی,High,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,,,,,,,جی، میں رکھ لوں گا۔,,,,,,,جی، میں نے یہی سوچا تھا۔ آپ کی بہت مہربانی۔ ان شاء اللہ،,,,,,,,جی، آپ کی بہت۔ میں ان رکھ لوں جب کسی نے اس کی ضرورت دی تھی,,,,,,
