ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation,Response_D,D_Relational_Alignment,D_Indirectness,D_Facesaving,D_Cultural_Appropriateness,D_Directness_Threat,D_Hierarchy_Violation
1,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,,,,,,,"""شکریہ، میں نے سالن لے لیا ہے۔""",,,,,,,"""ٹھیک ہے بھائی، میں ابھی سالن لے لیتا ہوں۔ آپ کی کمپ",,,,,,,"""شکر ہوگا، لیکن ابھی نہیں، یہ سرد ہو جائیں گے۔""",,,,,,,"""شکریہ، مگر میں نے ابھی کھانا نہیں کھایا، آپ پہلے لے لیں۔""",,,,,,
2,دوست,دوست,Low,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,,,,,,,"""ٹھیک ہے، میں ابھی چائے بنانا جا رہا ہوں۔""",,,,,,,"""نہیں، شکریہ، میں خود ہی بنا لوں گا۔""",,,,,,,"""جی سر، فوراً بنواتا ہوں۔""",,,,,,,"""جی، چلو چائے بناتی ہوں، کیا چاہیے؟""",,,,,,
3,ساس,بہو,High,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,,,,,,,"""ٹھیک ہے دادی جان، لیکن میں اس کی ضرورت نہیں ہے۔ آپ ک",,,,,,,"""جی چچا جان، میں خود روٹی لے آؤں گا۔""",,,,,,,"""شکریہ دادا جان، میں خود لے آتا ہوں۔""",,,,,,,"""شکریہ امی، مگر میں نے ابھی کافی کھا لی ہے۔""",,,,,,
4,بزرگ,نوجوان,High,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,,,,,,,"""بہت شکریہ، مگر میں اسے آپ کے پاس ہی رہنے دوں گا، آپ کو زیادہ ضرورت ہوگی۔""",,,,,,,"""شکریہ، لیکن یہ کتاب مجھے نہیں مل سکے گی، یہ میرے نامزد کردہ",,,,,,,"""جی چچا جان، میں نے کتاب اپنے پاس رکھ لی ہے۔""",,,,,,,"""ٹھیک ہے، میں اس کتاب کو روک لیا گا۔ میں آپ کی کامیابی ک",,,,,,
5,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,اور میٹھا لے لیجیے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,,,,,,,"""شکر گزاری کے ساتھ قبول کیا، میٹھا بھی لے لیجا۔""",,,,,,,"""شکریہ، مگر میں نے ابھی تک میٹھا نہیں کھایا، آپ خود لطف اٹھائیں۔""",,,,,,,"""شکریہ، لیکن ابھی کافی ہے نا، کھانا کھانے کے بعد میٹھا کھان",,,,,,,"""ٹھیک ہے، میں ابھی میٹھا لے آتا ہوں۔""",,,,,,
6,استاد,طالب علم,Medium,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,,,,,,,"""جی ضرور، اگر ضرورت ہو تو میں مزید وضاحت کر لوں گا۔""",,,,,,,شکریہ سر، آپ کی مدد کا بہت شکریہ، مگر میں نے سب سمجھ لیا ہے۔,,,,,,,"""ٹھیک ہے بھائی، مگر حالیں میں کچھ مشکلہ نہیں ہے، میں",,,,,,,"""شکریہ، لیکن میں نے تمام نکات سمجھ لیے ہیں، اگر کوئی اضافی معلومات درکار",,,,,,
7,خالہ,بھانجا,High,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,رات یہیں رک جاؤ، صبح چلے جانا۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,,,,,,,"""ٹھیک ہے بھائی، میں رات یہیں رک جاںگی، صبح چلے جانے",,,,,,,"""بہت شکریہ، مگر مجھے آج ہی واپس جانا ہے۔""",,,,,,,"""جی چچا جان، یقیناً رات یہیں رہوں گا، صبح تک کلام ہوگا",,,,,,,"""جی سر، میں رات یہیں رک جاؤں گا، صبح چلے جانا۔""",,,,,,
8,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,,,,,,,بہت مہربانی، لیکن مجھے کچھ نہیں چاہیے، آپ اپنی خریداری پر توجہ دیں۔,,,,,,,"""شکریہ، آپ کی بہت مہربانی، لیکن ابھی کچھ ضروری کام باقی ہیں، می�",,,,,,,"""ٹھیک ہے، بہت شکریہ، اگر آپ نے اسے کرنے کی اجازت دی تو آ",,,,,,,"""شکریہ، لیکن ابھی صرف تھوڑا سا کام باقی ہے، میں خود مکمل کر لوں گ",,,,,,
9,دوست,دوست,Low,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,چل یار، ایک اور گیم کھیل لیتے ہیں۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,,,,,,,"""یار، آج تو تھک گیا ہوں، کل کھیلیں گے۔""",,,,,,,"""جی بھائی، ابھی کھیلنے کی کوشش کروں گا، لیکن اگر میرا دل چاہے تو",,,,,,,"""ٹھیک ہے یار، آئیں گے کچھ وقت کے لیے۔""",,,,,,,"""یار، کوشش کرو، لیکن ابھی میرے پاس کچھ اور کام ہے، شاید بعد میں۔""",,,,,,
10,ماموں,بھانجی,High,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,,,,,,,"""جی سر، میں نے یہ رقم بھی رکھ لی ہے۔ اگر کوئی مسئلہ ہو",,,,,,,"""شکریہ، لیکن یہ رقم ضرورت نہیں ہے، میں خود اپنی ضروریات کے مطابق",,,,,,,"""ٹھیک ہے بھائی، میں اس کی روکا دیتا ہوں۔ شکریہ کرتا",,,,,,,"""بہت شکریہ، مگر میں یہ رقم نہیں لے سکتا، آپ کی مدد ہی میرے لیے کافی ہے۔""",,,,,,
