ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation,Response_D,D_Relational_Alignment,D_Indirectness,D_Facesaving,D_Cultural_Appropriateness,D_Directness_Threat,D_Hierarchy_Violation
1,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,,,,,,,"""میزبان جان، بہت شکریہ، مگر مجھے ابھی تک کافی مل گیا ہے۔""",,,,,,,"""جیسے جیسے، میں اسے لے لیا گا۔ بہت شکریہ!""",,,,,,,"""جی، بہت شکریہ، میں لے لوں گا۔""",,,,,,,"""بہت شکریہ، مگر میں نے کافی کھا لیا ہے۔""",,,,,,
2,دوست,دوست,Low,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,,,,,,,"""ٹھیک ہے، بہت شکریہ!""",,,,,,,"""نہیں یار، کافی ہے، تمہاری مہمان نوازی کا شکریہ!""",,,,,,,"""نہیں یار، بس اتنی ہی ہو گیا ہے۔"" (Answered by the user)
""بس",,,,,,,"""جی یار، ضرور بناوا دو!""",,,,,,
3,ساس,بہو,High,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,,,,,,,"""مамا، آپ کی محبت کا بے حد شکریyah، لیکن میں اس کے علاوہ کچھ",,,,,,,"""ساسی جان، بس اتنی روٹی کافی ہے، شکریہ!""",,,,,,,"""جی ساسی، آپ کی محبت کا بہت شکریہ، لیکن میں کافی کھا چکا ہوں۔",,,,,,,"""شکریہ ساس جی، مگر میں نے کافی کھا لی ہے۔""",,,,,,
4,بزرگ,نوجوان,High,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,,,,,,,"""بہت شکریہ، آپ کی مہربانی ہے۔ میں اس کتاب کا بہت خیال رکھوں گا۔""",,,,,,,"""جی بزرگ جان، آپ کی محبت کا بہت شکریہ، لیکن مجھے اس کی ضرurat نہیں ہ�",,,,,,,"""جی بزرگ، بہت شکریہ، مگر مجھے اس کی تکلیف نہیں کرنی چاہیے ت",,,,,,,"""جی بزرگ، مگر آپ کی مدد کا بہت شکریyah۔ اپنی کتاب رکھنے کی",,,,,,
5,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,اور میٹھا لے لیجیے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,,,,,,,"""میزبان جان، بہت شکریہ، بس یہ کافی ہو گیا ہے۔""",,,,,,,"""بہت شکریہ! مگر میں نے پہلے ہی کافی کھا لیا ہے، آپ کا بہت مہربانی ہے۔""",,,,,,,"""جی، بہت شکریہ، یہ کھانے کے بعد بہت اچھا لگا۔""",,,,,,,"""جیسے جان، میں بہت شکریہ، لیکن آپ کی محبت کا بے حد شکریہ",,,,,,
6,استاد,طالب علم,Medium,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,,,,,,,"""جی سر، یہاں کچھ پیچیدہ ہے، اگر آپ مزید وضاحت کر سکتے ہی�",,,,,,,"""شکریہ سر، میں نے سمجھ لیا ہے، مگر اگر کوئی سوال ہوا تو آپ سے ضرور پوچھوں گا۔""",,,,,,,"""جی سر، مزید وضاحت کی مدد کے لیے بہت شکریہ۔ آپ کی رہنمائی ک",,,,,,,"""جی سر، بس یہ سبق ختم ہو گیا، بس اضافی وضاحت کی درخواست کروں گا۔""",,,,,,
7,خالہ,بھانجا,High,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,رات یہیں رک جاؤ، صبح چلے جانا۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,,,,,,,"""بالکل خالہ جان، میں صبح چلے جاؤں گا۔ بہت شکریہ کہ آپ ن",,,,,,,"""خالہ جان، آپ کی محبت کا بہت شکریہ، مگر مجھے آج ہی واپس جانا ہے۔""",,,,,,,"""جی خالہ جان، آپ کی دعوت کا بہت شکریہ، لیکن میں ضرورت کے مطابق چھوٹا",,,,,,,"""خالہ جان، بہت شکریہ، بس یہیں رک جاؤں گا، صبح چلے جان",,,,,,
8,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,,,,,,,"""بہت شکریہ! اگر آپ کو کوئی مشکل نہ ہو تو ایک دو چیزیں لے آئیں، مہربانی ہوگی۔""",,,,,,,"""جی پڑوسی جان، آپ کی سہولت کا بہت شکریہ، لیکن ابھی تو میں ضرورت نہ",,,,,,,"""جی، بہت شکریہ، لیکن میں اس کے لیے کچھ نہیں چاہتا۔",,,,,,,"""شکریہ یار، بس کچھ لانے کے لیے آپ کا بہت شکریہ۔ بس آج ک�",,,,,,
9,دوست,دوست,Low,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,چل یار، ایک اور گیم کھیل لیتے ہیں۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,,,,,,,"""چلو، کیوں نہیں! یہ تو مزیدار ہوگا!""",,,,,,,"""جی یار، بہت اچھا، میں تیار ہوں!""",,,,,,,"""ٹھیک ہے، بیٹا! کیا آپ کو کوئی میچ نہیں چاہا؟""",,,,,,,"""جی یار، بس یہ کام ختم کر لوں!"" (Answered by the user.)",,,,,,
10,ماموں,بھانجی,High,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,,,,,,,"""ماموں جان، بہت شکریہ، لیکن مجھے اس کے علاوہ کچھ نہیں",,,,,,,"""جی ماموں جان، آپ کی دعائیں ہی میرے لیے کافی ہیں، مجھے اس",,,,,,,"""ماموں جان، بہت شکریہ، لیکن اب تک میں کچھ رقم نہیں چاہتا",,,,,,,ماموں جان، آپ کی مہربانی کا بہت شکریہ، مگر میں یہ رقم نہیں لے سکتی۔ آپ کی محبت ہی میرے لیے کافی ہے۔,,,,,,
11,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ ملاقات کے اختتام پر میزبان آپ کی مزید خدمت کی پیشکش کرتا ہے۔,اور کچھ چاہیے ہو تو بتائیے گا۔,بہت شکریہ، آپ نے پہلے ہی بہت عزت اور توجہ دی ہے، مزید کسی چیز کی ضرورت نہیں اب اجازت دیجیے۔,,,,,,,"""جی میزبان، بہت شکریہ، مگر آج کی دعوت کافی ہے۔""",,,,,,,"""بہت شکریہ، سب کچھ بہت اچھا تھا۔ آپ کی مہمان نوازی کا شکریہ!""",,,,,,,"""میزبان جان، آپ کی دعوتیں ہی میرے لیے کافی ہیں، مگر شکریہ!""",,,,,,,"""جی، بس یہ کافی ہے، آپ کی دعوتیں اور احباب کے تعاون کا بہت شکریہ",,,,,,
12,دوست,دوست,Low,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ جم جانے کی پیشکش کرتا ہے۔,چل یار، میرے ساتھ جم چل۔,یار، آج تو نہیں ہو پائے گا، لیکن کسی دن ضرور چلیں گے۔,,,,,,,"""جی یار، بس آج کے لیے ضرور، فطرت کا حال بہت اچھا ہے۔""",,,,,,,"""چلو یار، یہ تو اچھا آئیڈیا ہے، میں تمہارے ساتھ چلتا ہوں!""",,,,,,,"""ٹھیک ہے، بہت شکریہ۔ میں آئے گا۔""",,,,,,,"""جی یار، بس یہ کام مکمل کر لوں، پھر کچھ دیر آرام کر لیتا ہوں۔""
(",,,,,,
