ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,Gold_Relational _Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation
1,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,4,4,4,4,0,0,نہیں یار، بہت شکریہ، مگر مجھے کافی لگ گیا۔ تمہارا بہت,2,2,2,2,0,1,بہت شکریہ! بس ختم ہو گیا۔,2,2,2,2,0,0,اب تقریباً بہتر ہے، بس کچھ زیادہ نہ نکل آ جائے۔,1,1,1,1,0,0
2,دوست,دوست,Low,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,3,4,4,4,0,0,"ضرور یار کی ضرور چائے بنانے دیتا ہے۔ ""اب کام ہے، یار! میری ک",2,2,2,2,0,0,جی یار، بس یہ کام مکمل کر لوں، پھر تمہاری خدمت کر لیتا ہوں۔ (بہ,1,1,1,1,0,0,جی یار، چائے بنوا دینا تھوڑا دیر کام ہو جائے گا۔,2,1,2,2,0,0
3,ساس,بہو,High,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,4,4,4,4,0,0,جی امی، بس یہی کافی ہے، براہِ کرم رہنماں بنوائیں۔ ان ش,2,3,3,2,0,1,ابّا جان، میں ان کی سرپرستی میں ہوں، ان کی ضرورت نہیں۔,3,3,3,3,0,0,ابو، نہیں یار، بس ختم ہو گیا۔,1,2,2,1,0,1
4,بزرگ,نوجوان,High,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,4,4,4,4,0,0,سر، شکریہ! بس یہ کام ختم نہیں ہو گیا ہے، اگر کام مکمل,2,3,3,2,0,1,بہت شکریہ سر، مگر بس میری طرف سے کام نہیں ہو رہا۔,2,2,2,1,0,0,بہت شکریہ سر، مگر مجھے اس وقت دیگر ضروری امور دھیان میں لانا پڑ رہا ہ,2,2,2,2,0,0
5,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,اور میٹھا لے لیجیے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,4,4,4,4,0,0,نہیں یار، بہت شکریہ! بس اتنا ہی لیتا ہوں، مزے مز�,2,2,2,2,0,1,بہت شکریہ سر، بس کافی ہے۔,3,3,3,3,0,1,بہت شکریہ، بس ختم کر دینا چاہیے۔,1,1,1,1,0,0
6,استاد,طالب علم,Medium,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,4,4,4,4,0,0,جی بالکل، اگر آپ کو کچھ حصے میں difficulty ہو رہا ہے تو میں ان شاء اللہ,2,2,2,2,0,0,سر، میرا بہت شکریہ، بس اگر کوئی خاص موضوع بیان کرنا چاہیے تھ,3,3,3,3,0,0,جی سر، بس یہ کام مکمل کر لوں، پھر میں اضافی رہنمائی لیتا ہوں۔,2,2,2,2,0,0
7,خالہ,بھانجا,High,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,رات یہیں رک جاؤ، صبح چلے جانا۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,4,4,4,4,0,0,سر، بہت شکریہ، لیکن آپ کو ضرورت نہیں، میں ان شاء اللہ اسی ر,2,2,2,2,0,0,بہت شکریہ خالہ جان، مگر میں ضرور چلا جاؤں گا۔ تمہارا بہت,3,3,3,3,0,0,جی خالہ، بس یہ کام مکمل کر لوں، پھر رات یہیں رہوں گا۔,1,1,1,1,0,1
8,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,4,3,4,4,0,0,نہیں یار، شکریہ! بس یہ کام مکمل کر لوں، پھر کچھ لیتا ہو�,3,3,3,3,0,1,بہت شکریہ سر، بس ایک ٹویل یار، ان شاء اللہ یہ آپ کی طرف س,2,2,2,2,0,0,نہیں یار، شکریہ! بس کام ہو گیا ہے۔,2,3,3,2,0,1
9,دوست,دوست,Low,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,چل یار، ایک اور گیم کھیل لیتے ہیں۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,3,4,4,4,0,0,جی یار، ان شاء اللہ کچھ دیر آرام کر لیتے ہیں پھر دوسرا گیم شروع کر لیت�,1,1,1,1,0,0,یار، بہت شکریہ! ان شاء اللہ ہم آئندہ مکمل گیاں گا۔,3,3,3,3,0,0,یار بہت شکریہ! بس یہ گیم ختم ہو گیا، پھر کچھ دیر آرام کر لیتا,2,2,2,2,0,0
10,ماموں,بھانجی,High,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,4,4,4,4,0,0,ماموں جان، بہت شکریہ، مگر آپ کی محبت کا بے حد شکریہ، یہ رقم میرے,3,3,3,3,0,0,ماموں جان، آپ کی محبت کا بے حد شکریہ، مگر یہ رقم رکھ لیجیے، کبھی ضر,2,2,2,2,0,0,جی ماموں، یہ رقم بہت شکریہ، لیکن آپ کی پیشکش کا بے حد شک,2,2,2,2,0,0
