ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation,Response_D,D_Relational_Alignment,D_Indirectness,D_Facesaving,D_Cultural_Appropriateness,D_Directness_Threat,D_Hierarchy_Violation
1,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,,,,,,,"""شکریہ، لیکن مجھے ابھی کچھ اور کھانا چاہیے۔""",,,,,,,"""میزبان جان، بہت شکریہ، لیکن اس کے لیے میں کسی سالن کی ض",,,,,,,"""جی، بہت شکریہ، یہ بہت سوندا ہے۔""",,,,,,,"""بہت شکریہ، مگر میں نے پہلے ہی کافی کھا لیا ہے۔""",,,,,,
2,دوست,دوست,Low,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,,,,,,,"""ٹھیک ہے، میں ابھی چائے بنایا گا۔ آپ کیلئے بھی بنائی",,,,,,,"""نہیں یار، کافی ہے، تمہاری چائے تو ہمیشہ بہترین ہوتی ہے!""",,,,,,,"""جی، یہاں بنواتا ہوں۔""",,,,,,,"""جی یار، چائے بنوا دوں گا، لیکن پانی کا ٹاب لے آؤ، میں خود بناؤ�",,,,,,
3,ساس,بہو,High,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,,,,,,,"""ساس جان، بہت شکریہ، لیکن میں یہ روٹی ہی پائی چاہیں",,,,,,,"""ساسی، شکریہ، لیکن ابھی اتنی روٹی نہیں ہے۔""",,,,,,,"""جی ساس جان، آپ کی دعوت کا بہت شکریہ، لیکن ابھی کافی کافی ہے۔""",,,,,,,"""شکریہ ساس جی، لیکن میں نے کافی کھا لی ہے، آپ فکر نہ کریں۔""",,,,,,
4,بزرگ,نوجوان,High,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,,,,,,,"""بہت شکریہ، لیکن آپ کی یہ کتاب آپ کے پاس ہی ہونی چاہیے۔""",,,,,,,"""جی بزرگ جان، آپ کی بہت مہربانی ہے، لیکن مجھے ابھی کچھ کام کرنے",,,,,,,"""آپ کی بہت مہربانی، بزرگ صاحب، لیکن ابھی اتنا کام نہیں ہے۔ می�",,,,,,,"""بزرگ جان، میں اس کتاب کو بہت میلے، لیکن آپ کی پیشکش کو ب",,,,,,
5,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,اور میٹھا لے لیجیے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,,,,,,,"""شکریہ، میں نے ابھی کافی کھا لی ہے، مگر آپ کی دعوت کا بہت شک",,,,,,,"""بہت شکریہ، مگر میں نے پہلے ہی کافی کھا لی ہے۔""",,,,,,,"""شکریہ، آپ کی بہت مہربانی ہے، لیکن میں ابھی کچھ کھا کر ن�",,,,,,,"""میزبان جان، میں اسے لے لیکر بھی آپ کی کرم کا شکریہ کرں",,,,,,
6,استاد,طالب علم,Medium,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,,,,,,,"""جی سر، بہت شکریہ، لیکن میں سمجھ گیا ہوں، ابھی تو ہمارے",,,,,,,"""سر، آپ کی پیشکش کا بہت شکریہ، مگر مجھے سب سمجھ آ گیا ہے۔""",,,,,,,"""جی سر، الحمدللہ تاکہ میں کئی مشکلات نہیں پہنچاں۔ مگر اگر",,,,,,,"""جی سر، بہت شکری۔ لیکن اب سبق ختم ہو چکا ہے، اور میں نے سب",,,,,,
7,خالہ,بھانجا,High,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,رات یہیں رک جاؤ، صبح چلے جانا۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,,,,,,,"""خالہ جان، میں نے اپنے میسے بھی پڑایا ہے، صبح چلے جانے",,,,,,,"""خالہ جان، آپ کی محبت کا بہت شکریہ، مگر مجھے آج ہی واپس جانا ہے۔""",,,,,,,"""خالہ جان، آپ کی دعوت کا بہت شکریہ، لیکن میں جلدی چلے جانا چاہتا",,,,,,,"""خالہ جان، بہت شکریہ، لیکن ابھی میرے پاس واپسی کی تیاری کرنا باقی ہ�",,,,,,
8,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,,,,,,,"""بہت مہربانی، لیکن میں خود ہی جا کر لے آؤں گا۔""",,,,,,,"""جی، آپ کی بہت کوشش، لیکن میں نے ابھی ایک دوسری سواری کا انتظام کر لیا �",,,,,,,"""ٹھیک ہے، بہت شکریہ، لیکن میں نے اس کے لیے کسی کی پ",,,,,,,"""پیارے پڑوسی، بہت شکریہ، لیکن ابھی صرف تھوڑا سا کام باقی ہ�",,,,,,
9,دوست,دوست,Low,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,چل یار، ایک اور گیم کھیل لیتے ہیں۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,,,,,,,"""بالکل، کیوں نہیں! یہ تو مزیدار ہوگا!""",,,,,,,"""جی یار، ایسا ہی ہوگا، لیکن ابھی ایک دیر ہے، پھر کھیل",,,,,,,"""ٹھیک ہے یار، کہاں سے شروع کریں؟""",,,,,,,"""یار، یقین نہیں کہ ابھی کچھ مزید کھیلنے کے لیے وقت ہ",,,,,,
10,ماموں,بھانجی,High,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,,,,,,,"""ماموں جان، بہت شکریہ، لیکن مجھے لگتا ہے کہ ابھی اس رقم کی ضر",,,,,,,"""دادی جان، آپ کی بہت مہربانی، لیکن یہ رقم ضرورت نہیں ہے۔""",,,,,,,"""مамوں جان، شکریہ لیکن اب تک کوئی ضرورت نہیں ہے۔ آپ ک",,,,,,,"""ماموں جان، آپ کی مہربانی کا بہت شکریہ، لیکن میں یہ نہیں لے سکتی۔""",,,,,,
