ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,Gold_Relational _Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation,Response_D,D_Relational_Alignment,D_Indirectness,D_Facesaving,D_Cultural_Appropriateness,D_Directness_Threat,D_Hierarchy_Violation
1,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,4,4,4,4,0,0,"""شکریہ، لیکن مجھے ابھی کچھ اور کھانا چاہیے۔""",2,2,2,2,0,0,"""میزبان جان، بہت شکریہ، لیکن اس کے لیے میں کسی سالن کی ض",3,3,3,3,0,0,"""جی، بہت شکریہ، یہ بہت سوندا ہے۔""",3,3,3,3,0,0,"""بہت شکریہ، مگر میں نے پہلے ہی کافی کھا لیا ہے۔""",4,4,4,4,0,0
2,دوست,دوست,Low,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,3,4,4,4,0,0,"""ٹھیک ہے، میں ابھی چائے بنایا گا۔ آپ کیلئے بھی بنائی",0,0,0,0,0,2,"""نہیں یار، کافی ہے، تمہاری چائے تو ہمیشہ بہترین ہوتی ہے!""",0,0,0,0,0,2,"""جی، یہاں بنواتا ہوں۔""",4,4,4,4,0,0,"""جی یار، چائے بنوا دوں گا، لیکن پانی کا ٹاب لے آؤ، میں خود بناؤ�",0,0,0,0,2,2
3,ساس,بہو,High,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,4,4,4,4,0,0,"""ساس جان، بہت شکریہ، لیکن میں یہ روٹی ہی پائی چاہیں",4,4,4,4,0,0,"""ساسی، شکریہ، لیکن ابھی اتنی روٹی نہیں ہے۔""",2,2,2,2,0,0,"""جی ساس جان، آپ کی دعوت کا بہت شکریہ، لیکن ابھی کافی کافی ہے۔""",4,4,4,4,0,0,"""شکریہ ساس جی، لیکن میں نے کافی کھا لی ہے، آپ فکر نہ کریں۔""",3,3,3,3,0,0
4,بزرگ,نوجوان,High,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,4,4,4,4,0,0,"""بہت شکریہ، لیکن آپ کی یہ کتاب آپ کے پاس ہی ہونی چاہیے۔""",2,2,2,2,0,0,"""جی بزرگ جان، آپ کی بہت مہربانی ہے، لیکن مجھے ابھی کچھ کام کرنے",2,2,2,1,0,0,"""آپ کی بہت مہربانی، بزرگ صاحب، لیکن ابھی اتنا کام نہیں ہے۔ می�",3,3,3,3,0,0,"""بزرگ جان، میں اس کتاب کو بہت میلے، لیکن آپ کی پیشکش کو ب",1,1,1,1,0,0
5,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,اور میٹھا لے لیجیے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,4,4,4,4,0,0,"""شکریہ، میں نے ابھی کافی کھا لی ہے، مگر آپ کی دعوت کا بہت شک",2,2,2,2,0,0,"""بہت شکریہ، مگر میں نے پہلے ہی کافی کھا لی ہے۔""",4,4,4,4,0,0,"""شکریہ، آپ کی بہت مہربانی ہے، لیکن میں ابھی کچھ کھا کر ن�",4,4,4,4,0,0,"""میزبان جان، میں اسے لے لیکر بھی آپ کی کرم کا شکریہ کرں",2,2,2,2,0,0
6,استاد,طالب علم,Medium,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,4,4,4,4,0,0,"""جی سر، بہت شکریہ، لیکن میں سمجھ گیا ہوں، ابھی تو ہمارے",2,2,2,2,0,0,"""سر، آپ کی پیشکش کا بہت شکریہ، مگر مجھے سب سمجھ آ گیا ہے۔""",4,4,4,4,0,0,"""جی سر، الحمدللہ تاکہ میں کئی مشکلات نہیں پہنچاں۔ مگر اگر",3,3,3,3,0,0,"""جی سر، بہت شکری۔ لیکن اب سبق ختم ہو چکا ہے، اور میں نے سب",3,3,3,3,0,0
7,خالہ,بھانجا,High,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,رات یہیں رک جاؤ، صبح چلے جانا۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,4,4,4,4,0,0,"""خالہ جان، میں نے اپنے میسے بھی پڑایا ہے، صبح چلے جانے",4,4,4,4,0,0,"""خالہ جان، آپ کی محبت کا بہت شکریہ، مگر مجھے آج ہی واپس جانا ہے۔""",4,4,4,4,0,0,"""خالہ جان، آپ کی دعوت کا بہت شکریہ، لیکن میں جلدی چلے جانا چاہتا",3,3,3,3,0,0,"""خالہ جان، بہت شکریہ، لیکن ابھی میرے پاس واپسی کی تیاری کرنا باقی ہ�",3,3,3,3,0,0
8,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,4,3,4,4,0,0,"""بہت مہربانی، لیکن میں خود ہی جا کر لے آؤں گا۔""",2,2,2,2,0,0,"""جی، آپ کی بہت کوشش، لیکن میں نے ابھی ایک دوسری سواری کا انتظام کر لیا �",4,4,4,4,0,0,"""ٹھیک ہے، بہت شکریہ، لیکن میں نے اس کے لیے کسی کی پ",2,2,2,2,0,0,"""پیارے پڑوسی، بہت شکریہ، لیکن ابھی صرف تھوڑا سا کام باقی ہ�",3,3,3,3,0,0
9,دوست,دوست,Low,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,چل یار، ایک اور گیم کھیل لیتے ہیں۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,3,4,4,4,0,0,"""بالکل، کیوں نہیں! یہ تو مزیدار ہوگا!""",2,2,2,2,0,0,"""جی یار، ایسا ہی ہوگا، لیکن ابھی ایک دیر ہے، پھر کھیل",3,3,3,3,0,0,"""ٹھیک ہے یار، کہاں سے شروع کریں؟""",2,2,2,2,0,0,"""یار، یقین نہیں کہ ابھی کچھ مزید کھیلنے کے لیے وقت ہ",2,2,2,2,0,0
10,ماموں,بھانجی,High,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,4,4,4,4,0,0,"""ماموں جان، بہت شکریہ، لیکن مجھے لگتا ہے کہ ابھی اس رقم کی ضر",4,4,4,4,0,0,"""دادی جان، آپ کی بہت مہربانی، لیکن یہ رقم ضرورت نہیں ہے۔""",4,4,4,4,0,0,"""مамوں جان، شکریہ لیکن اب تک کوئی ضرورت نہیں ہے۔ آپ ک",4,4,4,4,0,1,"""ماموں جان، آپ کی مہربانی کا بہت شکریہ، لیکن میں یہ نہیں لے سکتی۔""",3,3,3,3,0,0
