ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation
1,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,,,,,,,سر، بہت شکریہ، مگر ابھی اتنا گرم نہیں ہے۔ میں بالکل اچھ,,,,,,,جی، شکریہ، ابھی اتنا زحمت ہوگی۔,,,,,,,دعوت کا بہت شکریہ، میٹ جانے والے زحمت کا بہت مہربانی۔,,,,,,
2,دوست,دوست,Low,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,,,,,,,ٹھیک ہے، آپ کی بہت مہربانی، ابھی چائے بناو رہا ہوں۔,,,,,,,"ضرور، چائے بننا پلا دینا۔ شکریہ!

Reasoning: آپ کی بہت مہمان نوازی، شکریہ",,,,,,,جی، پھر ایک کップ بھی بنوا دوں گا۔,,,,,,
3,ساس,بہو,High,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,,,,,,,جی ساس جان، ان شاء اللہ بہت شکریہ۔,,,,,,,سر، بہت شکریہ، مگر ابھی اتنا کام باقی نہیں ہے، میں خود لے,,,,,,,سنسی، وہ بچے کی بہ母，这里应该是“妈妈”，请允许我纠正：“妈妈，他已经有了，不要再给他添了。”,,,,,,
4,بزرگ,نوجوان,High,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,,,,,,,جی سر، بہت شکریہ، مگر ابھی اتنا کام باقی نہیں ہے، میں خود اس�,,,,,,,"جی ]={
سر، یہ کتاب بہت مفید ہوگی۔ آؤنٹی زحمت کا بہت شکری",,,,,,,جی سر، شکریہ۔ یہ بہت مہربانی ہوگی۔,,,,,,
5,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,اور میٹھا لے لیجیے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,,,,,,,سر، بہت شکریہ، لیکن ابھی اتنا میٹھا لے لوںا؟ میرے لیے بالکل ک,,,,,,,دعوت کی بہت شکریہ، مگر ابھی تک بس میٹھا لے لیجیے۔,,,,,,,جی، بہت شکریہ۔,,,,,,
6,استاد,طالب علم,Medium,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,,,,,,,سر، بہت شکریہ، مگر حالانکہ ابھی تک میری فهم کا کافی ضبط نہیں,,,,,,,جی سر، بہت شکریہ، مگر ابھی اتنا کام باقی نہیں ہے، میں خود مکمل,,,,,,,جی سر، بہت شکریہ، مگر ابھی اتنا کام باقی نہیں ہے۔ میں خود اس,,,,,,
7,خالہ,بھانجا,High,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,رات یہیں رک جاؤ، صبح چلے جانا۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,,,,,,,خالہ، شکریہ، لیکن میں بالکل ٹھیک ہوں، آپ فکر نہ کریں۔ ابھ,,,,,,,خالہ جان، ان شاء اللہ میں پھر سے آؤں گا۔ آپ کی دعائیں کا بہ,,,,,,,سر، بالکل ہی ٹھیک ہوں، میں ابھی صبح چلے گا۔,,,,,,
8,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,,,,,,,جی، شکریہ، مگر ابھی اتنا زحمت نہیں۔,,,,,,,آپ کی بہت مہربانی، میں ابھی االمعذرت کر لوں گا۔,,,,,,,ضرور، شکریہ! اگر اور بھی کچھ چاہیے ہو تو میں لے آتا ہ,,,,,,
9,دوست,دوست,Low,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,چل یار، ایک اور گیم کھیل لیتے ہیں۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,,,,,,,ٹھیک یار， ابھی ایک اور گیم کا بہت کر لوں ہیں。,,,,,,,ٹھیک ہے، ایک اور گیم کھیل لو۔ مفتحان بہت آسان ہے، میں,,,,,,,ٹھیک ہے، یقین نہیں پڑا کہ اس بار کیا ہوگا۔,,,,,,
10,ماموں,بھانجی,High,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,,,,,,,مامو جان، شکریہ۔ میں انصاف سے استعمال کر دوں گا۔,,,,,,,ٹھیک ہے ماموں، ابھی صرف تھوڑا سا رقم رکھ لوں، کبھی ضرورت,,,,,,,مامو جان، شکریہ، لیکن ابھی اتنا ضرور نہیں چاہیےے گا۔ میں,,,,,,
