ID,Language,Topic,User Role,Model Role,Power Distance,Register,Pragmatic Genre,Sensitivity,User Utterance,Context,Gold Response,LLaMA_Response
1,Urdu,Refusing Offers,میزبان,مہمان,Medium,Formal,Gratitude + indirect refusal,Positive,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,"""جی، بہت شکریہ، یہ بہت سوندا ہے۔"""
2,Urdu,Refusing Offers,دوست,دوست,Low,Informal,Polite refusal,Negative,اور چائے بنوا دوں؟,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,"""جی یار، چائے بنوا دوں گا، لیکن پانی کا ٹاب لے آؤ، میں خود بناؤ�"
3,Urdu,Refusing Offers,ساس,بہو,High,Formal,Deferential refusal,Positive,بیٹا، اور روٹی لے لو۔,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,"""جی ساس جان، آپ کی دعوت کا بہت شکریہ، لیکن ابھی کافی کافی ہے۔"""
4,Urdu,Refusing Offers,بزرگ,نوجوان,High,Formal,Respectful hesitation,Positive,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,"""جی بزرگ جان، آپ کی بہت مہربانی ہے، لیکن مجھے ابھی کچھ کام کرنے"
5,Urdu,Refusing Offers,میزبان,مہمان,Medium,Formal,Face-saving refusal,Negative,اور میٹھا لے لیجیے۔,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,"""شکریہ، آپ کی بہت مہربانی ہے، لیکن میں ابھی کچھ کھا کر ن�"
6,Urdu,Refusing Offers,استاد,طالب علم,Medium,Formal,Careful refusal,Neutral,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,"""جی سر، بہت شکریہ، لیکن میں سمجھ گیا ہوں، ابھی تو ہمارے"
7,Urdu,Refusing Offers,خالہ,بھانجا,High,Formal,Respectful refusal,Negative,رات یہیں رک جاؤ، صبح چلے جانا۔,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,"""خالہ جان، آپ کی دعوت کا بہت شکریہ، لیکن میں جلدی چلے جانا چاہتا"
8,Urdu,Refusing Offers,پڑوسی,پڑوسی,Medium,Formal,Indirect refusal,Neutral,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,"""جی، آپ کی بہت کوشش، لیکن میں نے ابھی ایک دوسری سواری کا انتظام کر لیا �"
9,Urdu,Refusing Offers,دوست,دوست,Low,Informal,Light refusal,Neutral,چل یار، ایک اور گیم کھیل لیتے ہیں۔,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,"""جی یار، ایسا ہی ہوگا، لیکن ابھی ایک دیر ہے، پھر کھیل"
10,Urdu,Refusing Offers,ماموں,بھانجی,High,Formal,Deference,Negative,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,"""دادی جان، آپ کی بہت مہربانی، لیکن یہ رقم ضرورت نہیں ہے۔"""
