Model,Topic,PD,Sensitivity,Utterance,Gold,Response,CAS,FTV,Bias
Qalb-1.0-8B-Instruct,,High,,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,"""ساسی، آپ کی بہت مہربانی، مگر مجھے یقین ہے کہ میں نے ک",0.5,0.125,0.5
Qalb-1.0-8B-Instruct,,High,,آج رات آپ ہمارے ساتھ کھانا ضرور کھائیے گا۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,"""ساسی، آپ کی دعوت بہت خوبصورت ہے، مگر مجھے افسوس ہے کہ می�",0.7812,0.125,0.2188
Qalb-1.0-8B-Instruct,,Medium,,اگر وقت ہو تو آج ہمارے ساتھ دوپہر کا کھانا کھا لینا۔,سر، آپ نے یاد کیا یہی میرے لیے کافی ہے، لیکن آج پہلے سے ایک مصروفیت ہے۔,"""جی استاد، بس ابھی آئی۔ آپ کی دعوت قبول کرنے کا بہت شکریہ۔""",0.5938,0.125,0.4062
Meta-Llama-3.1-8B-Instruct,,High,,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,"""جی ساسی، ابھی کافی ہو گیا، بس یہی کافی ہے۔""",0.5,0.125,0.5
Meta-Llama-3.1-8B-Instruct,,High,,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,"""جی ماموں، آپ کی بہت مہربانی، یہ رقم ضرور رکھ لوں گی۔""",0.625,0.125,0.375
Meta-Llama-3.1-8B-Instruct,,High,,کل کھانے پر آنا۔,خالہ جان، آپ نے یاد کیا، یہ میرے لیے خوشی کی بات ہے، ان شاء اللہ ضرور آؤں گی۔,"""جی خالہ جان، کل ضرور آؤں گا، آپ کی دعوت کا شکریہ!""",0.7812,0.125,0.2188
Qwen2.5-7B-Instruct,,Medium,,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,"""بھتیجا جان، میں اپنے صحتی سے لے آتا ہوں، لیکن آپ کی پی",0.6562,0.125,0.3438
Qwen2.5-7B-Instruct,,High,,بیٹا، تھوڑا سا اور کھا لو، بہت کم کھایا ہے۔,آپ کی محبت کا بہت شکریہ، میں نے بھرپور کھانا کھایا ہے، اب واقعی مزید گنجائش نہیں رہی۔,"""مамا، میں تھوڑا سا بیش کھا رہا ہوں، مگر اگر آپ کیا",0.5,0.125,0.5
Qwen2.5-7B-Instruct,,Medium,,آج شام ہمارے گھر آ جائیے، سب مل کر کھانا کھائیں گے۔,ماشاء اللہ، اچھا لگے گا، ان شاء اللہ شریک ہونے کی کوشش کروں گا۔,"""بھتیجا جان، میں آج آ جائیں گا، امید کرتا ہूں کہ سب کھ",0.2812,0.125,0.7188
GPT-4o-mini,,Medium,,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,"""شکریہ بھائی، مگر مجھے کچھ نہیں چاہیے۔ آپ کی مہربانی کا بہت شکریہ!""",0.9062,0.125,0.0938
GPT-4o-mini,,Medium,,آج شام ہمارے گھر آ جائیے، سب مل کر کھانا کھائیں گے۔,ماشاء اللہ، اچھا لگے گا، ان شاء اللہ شریک ہونے کی کوشش کروں گا۔,"""بہت شکریہ! آج شام میں نہیں آ سکوں گی، لیکن آپ سب کا خیال رکھیں۔""",0.7812,0.125,0.2188
GPT-4o-mini,,High,,بیٹا، عید پر سب اکٹھے ہوں گے، تم بھی ضرور آنا۔,جی، ان شاء اللہ ضرور آؤں گا۔,"""جی چچا، ان شاء اللہ میں ضرور آؤں گا۔""",0.75,0.125,0.25
