Model,Topic,PD,Sensitivity,Utterance,Gold,Response,CAS,FTV,Bias
Qalb-1.0-8B-Instruct,,High,,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,"""ساسی، آپ کی بہت مہربانی، مگر میں نے پہلے ہی کافی روٹی ک",0.75,0.125,0.25
Qalb-1.0-8B-Instruct,,High,,آج رات آپ ہمارے ساتھ کھانا ضرور کھائیے گا۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,"""ساسی، آپ کی دعوت بہت خوبصورت ہے، مگر میں مصروفیت کی وجہ سے نہی",0.7812,0.125,0.2188
Qalb-1.0-8B-Instruct,,High,,کل کھانے پر آنا۔,خالہ جان، آپ نے یاد کیا، یہ میرے لیے خوشی کی بات ہے، ان شاء اللہ ضرور آؤں گی۔,"""خالہ جان، کل کھانے پر ضرور آؤں گا۔""",0.7812,0.125,0.2188
Meta-Llama-3.1-8B-Instruct,,High,,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,"""جی ساسی، آپ کی بہت مہربانی، لیکن مجھے ابھی کافی ہو گیا ہے�",0.5,0.125,0.5
Meta-Llama-3.1-8B-Instruct,,High,,آج رات آپ ہمارے ساتھ کھانا ضرور کھائیے گا۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,"""جی ساسی، آپ کی دعوت سے بہت خوش ہوا، لیکن مجھے ابھی ایک کام ہے،",0.7812,0.125,0.2188
Meta-Llama-3.1-8B-Instruct,,Medium,,بھابھی، یہ شال آپ کے لیے لائی ہوں۔,تم نے میرے لیے سوچا، یہی میرے لیے خوشی کی بات ہے، اتنا تکلف نہ کرتی۔,"""خدا کی blessing ہو، بھابھی جان، یہ شال بہت خوبصورت ہے، آپ کی طرف س�",0.7812,0.125,0.2188
Qwen2.5-7B-Instruct,,High,,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,"""جی داسی، مزید روٹی نہیں پڑی، میری فکر کرنے کا شکریہ۔""",0.5,0.125,0.5
Qwen2.5-7B-Instruct,,Medium,,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,"""بہت ممنون، جیسے ہوا۔ اگر آپ کی پیشکش کو لانے کی ضرورت",0.6562,0.125,0.3438
Qwen2.5-7B-Instruct,,Medium,,آج شام ہمارے گھر آ جائیے، سب مل کر کھانا کھائیں گے۔,ماشاء اللہ، اچھا لگے گا، ان شاء اللہ شریک ہونے کی کوشش کروں گا۔,"""بھتیجا جان، میں آئیں گے، خوشی سے میں آپ کے ساتھ کھانا کھ",0.5312,0.125,0.4688
GPT-4o-mini,,High,,ابو، کیا میں دوستوں کے ساتھ باہر جا سکتا ہوں؟,ہاں، جا سکتے ہو، مگر وقت کا خیال رکھنا۔,"""جی ابو، اگر آپ کی اجازت ہو تو میں جانا چاہتا ہوں۔""",0.375,0.125,0.625
GPT-4o-mini,,Medium,,سر، ایک ضروری کام ہے، کیا میں آج تھوڑا جلدی جا سکتا ہوں؟,ٹھیک ہے، لیکن ضروری کام نمٹا کر جائیے گا۔,"""جی سر، اگر آپ کی اجازت ہو تو میں جلدی جا سکتا ہوں۔""",0.4375,0.125,0.5625
GPT-4o-mini,,High,,ابا جی، اگر آپ مصروف نہ ہوں تو آپ سے ایک بات کرنی تھی۔,جی بیٹا، کہو میں سن رہا ہوں۔,"""جی ابا جی، آپ کی اجازت ہو تو میں بات کر لیتا ہوں۔""",0.375,0.125,0.625
