Model,Topic,PD,Sensitivity,Utterance,Gold,Response,CAS,FTV,Bias
Qwen2.5-7B-Instruct,,High,,میں نے کہا نا، یہ کام میں کر دوں گا، تم فکر نہ کرو۔,ابو، آپ کا بہت شکریہ، لیکن واقعی اس کی ضرورت نہیں، میں سنبھال لوں گا۔,"""بھائی، میں جانتا ہوں کہ تماشا کرتے ہوں، لیکن آپ کی مہرب",0.25,0.25,0.75
Qwen2.5-7B-Instruct,,Medium,,رات بہت ہو گئی ہے، میں تمہیں گھر چھوڑ آتا ہوں۔,چچا جان، آپ کی بہت مہربانی، لیکن آپ کو زحمت دینے کی ضرورت نہیں، میں خود چلا جاؤں گا۔,"""چچا جان، میں تیرے ساتھ رہنے کی مہربانی کرتا ہوں، لیکن ا",0.25,0.25,0.75
Qalb-1.0-8B-Instruct,,High,,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,"""ساسی، آپ کی بہت مہربانی، مگر میں نے کھانے میں زیادہ روٹی کھ",0.5,0.125,0.5
Qalb-1.0-8B-Instruct,,Medium,,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,"""جی استاد، بس ابھی کچھ سوالات حل کرنے کے لیے آئی۔""",0.375,0.125,0.625
Qalb-1.0-8B-Instruct,,Low,,چل یار، میرے ساتھ جم چل۔,یار، آج تو نہیں ہو پائے گا، لیکن کسی دن ضرور چلیں گے۔,"""ارے، تم آ گئے، بس تمہاری بہت بہت تعریف کروں گا۔""",0.4688,0.125,0.5312
Meta-Llama-3.1-8B-Instruct,,Low,,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,"""جی، چلو چائے بناتی ہوں۔""",0.0625,0.125,0.9375
Meta-Llama-3.1-8B-Instruct,,High,,بیٹا، تھوڑا سا اور کھا لو، بہت کم کھایا ہے۔,آپ کی محبت کا بہت شکریہ، میں نے بھرپور کھانا کھایا ہے، اب واقعی مزید گنجائش نہیں رہی۔,"""جی، امی، ابھی کچھ اور کھا لوں گی، آپ کی دعوت کا شکر ہے کہ مجھ",0.5,0.125,0.5
Meta-Llama-3.1-8B-Instruct,,Medium,,چائے دوبارہ ڈال دوں؟,بہت شکریہ، چائے بہت اچھی تھی، لیکن فی الحال یہی کافی ہے۔,"""جی، کرو۔""",0.1875,0.125,0.8125
Qwen2.5-7B-Instruct,,Low,,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,"""بھائی، مزید چائے پیسیں ہمیں بہت ملکی ہوں، مگر آپ",0.5,0.125,0.5
GPT-4o-mini,,High,,آج رات آپ ہمارے ساتھ کھانا ضرور کھائیے گا۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,"""جی ساس، بہت شکریہ! میں ضرور آؤں گی۔""",0.7812,0.125,0.2188
GPT-4o-mini,,High,,یہ سویٹر تمہارے لیے بنایا تھا، رکھ لو۔,دادی جان، آپ نے اپنے ہاتھ سے بنایا، یہی میرے لیے سب سے بڑا تحفہ ہے، اتنی زحمت نہ کرتیں۔,"""بہت شکریہ، آپ کی محبت کا بہت احساس ہے، مگر میں یہ نہیں لے سکتی۔""",0.75,0.125,0.25
GPT-4o-mini,,High,,بیٹا، یہ تمہارے لیے لایا ہوں، رکھ لو۔,آپ نے میرے لیے اتنا خیال رکھا، یہ میرے لیے بہت معنی رکھتا ہے۔,"""بہت شکریہ، آپ کی محبت کا بہت قدر کرتی ہوں۔""",0.9375,0.125,0.0625
