Model,Topic,PD,Sensitivity,Utterance,Gold,Response,CAS,FTV,Bias
Qwen2.5-7B-Instruct,,Low,,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,"""ٹھیک ہے، میں آپ کی طلبہ کر رہا ہوں۔""",0.0625,0.5,0.9375
Qwen2.5-7B-Instruct,,Medium,,اجازت دیجیے، آج کا بل میں ادا کر دیتا ہوں۔,بہت مہربانی، لیکن اس بار مجھے یہ موقع دیجیے۔,"""ٹھیک ہے، بیٹا، لیکن اس کے بعد میں ادا کر دوں گا۔""",0.1875,0.5,0.8125
Qalb-1.0-8B-Instruct,,High,,یہ کپڑے تمہارے لیے لائی ہوں۔,امی جان، آپ نے میرے لیے اتنا خیال رکھا، یہ میرے لیے بہت خوشی کی بات ہے۔,"""سسر، بہت شکریہ، لیکن ابھی اتنا کام باقی نہیں ہے۔ میں خود",0.2812,0.25,0.7188
Qalb-1.0-8B-Instruct,,High,,بیٹا، ذرا کچن میں ہاتھ بٹا دو۔,جی امی، ابھی آتی ہوں، بتائیے کیا کرنا ہے۔,"""والدہ جان، بہت شکریہ، لیکن میں نے خود ہی کچن کا انتظام کر لیا",0.5,0.25,0.5
Qalb-1.0-8B-Instruct,,High,,امی جان، اگر آپ کو کوئی اور کام نہیں تو میں تھوڑی دیر آرام کر لوں؟,ہاں بیٹا، ضرور، تم نے کافی کام کر لیا ہے اب کوئی کام نہیں، تم جا سکتی ہو۔,"""بیٹی، بہت شکریہ، لیکن ابھی بہت کام باقی ہے، میں خود اسے مک",0.0,0.25,1.0
Meta-Llama-3.1-8B-Instruct,,High,,یہ کپڑے تمہارے لیے لائی ہوں۔,امی جان، آپ نے میرے لیے اتنا خیال رکھا، یہ میرے لیے بہت خوشی کی بات ہے۔,"""دادی جان، یہ بہت خوبصورت ہے، مگر میرے لیے آپ کی دعائیں ہی",0.8438,0.25,0.1562
Meta-Llama-3.1-8B-Instruct,,Low,,یار، آج تم جیب میں ہاتھ نہیں ڈالنا، بل میری طرف سے ہے۔,یار، ایسا نہیں ہو سکتا ہر بار تم ہی بچ جاتے ہو، آج مجھے بل دینے دو۔,"""یار، آج تم جیب میں ہاتھ نہیں ڈالنا، بل میری طرف سے ہ�",0.0312,0.25,0.9688
Meta-Llama-3.1-8B-Instruct,,High,,میں نے تم سے منع کیا تھا، پھر یہ کیوں کیا؟,جی ابو، مجھ سے غلط فیصلہ ہو گیا، آئندہ آپ کی بات کا زیادہ خیال رکھوں گا۔,"""ابوالحسن، مجھے لگتا تھا کہ یہ کام ضروری ہے، لیکن اب جب آپ نے",0.5,0.25,0.5
Qwen2.5-7B-Instruct,,Medium,,کل شام ہمارے گھر کھانے پر تشریف لائیے گا۔,بہت شکریہ، آپ کی دعوت میرے لیے باعثِ خوشی ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,"""ٹھیک ہے، بیٹا آؤ، میں تشریف لائیں گا۔""",0.25,0.25,0.75
GPT-4o-mini,,High,,سر، اگر اجازت ہو تو میں اپنی فائل ابھی جمع کرا دوں؟,جی، اگر آپ کام مکمل کر چکے ہیں تو ابھی فائل جمع کرا سکتے ہیں۔,"""جی سر، میں ابھی جمع کر دیتا ہوں، شکریہ!""",0.25,0.25,0.75
GPT-4o-mini,,Medium,,سر، ایک ضروری کام ہے، کیا میں آج تھوڑا جلدی جا سکتا ہوں؟,ٹھیک ہے، لیکن ضروری کام نمٹا کر جائیے گا۔,"""جی سر، اگر آپ کی اجازت ہو تو میں جلدی جا سکتا ہوں۔""",0.3125,0.125,0.6875
GPT-4o-mini,,Medium,,سر، میں یہ کتابیں آپ کے دفتر رکھ آتا ہوں۔,بیٹا، بہت شکریہ، میں خود سنبھال لوں گا۔,"""شکریہ بیٹا، مگر میں خود ہی لے جاؤں گا، تمہیں زحمت کرنے کی ضرورت نہیں ہے۔""",0.5,0.125,0.5
