Model,Topic,PD,Sensitivity,Utterance,Gold,Response,CAS,FTV,Bias
Qwen2.5-7B-Instruct,,Medium,,یہ کتاب تمہارے لیے بطور انعام لایا ہوں۔,سر، آپ نے مجھے اس قابل سمجھا، یہی میرے لیے بڑی بات ہے۔,"""دیکھ بھائی، اس کتاب کی ضرورت نہیں ہے۔ آپ کی انعام کا بہت ش",0.0312,0.75,0.9688
GPT-4o-mini,,High,,یہ چوڑیاں تمہارے لیے رکھی تھیں، لے لو۔,امی جان، آپ کی محبت ہی میرے لیے کافی ہے  شکریہ۔,"""بہن، آپ کی محبت کا بہت شکریہ، مگر مجھے ان کی ضرورت نہیں ہے۔""",0.0312,0.75,0.9688
Qalb-1.0-8B-Instruct,,Medium,,اس پر مزید بحث نہیں، آج بل میں ادا کروں گا۔,سر، یہ آپ کی مہربانی ہے، لیکن واقعی اس کی ضرورت نہیں۔,"""ٹھیک ہے، میں آج بل میں ادا کروں گا۔""",0.0312,0.625,0.9688
Qwen2.5-7B-Instruct,,Medium,,اگر کوئی مسئلہ ہو تو میں رہنمائی کر سکتا ہوں۔,سر، یہ میرے لیے بہت حوصلہ افزا بات ہے، آپ کی رہنمائی سے یقیناً فائدہ ہوگا۔,"""ٹھیک ہے بھائی، اب تک کوئی مسئلہ نہیں ہے، لیکن اگر ک",0.0625,0.625,0.9375
Qwen2.5-7B-Instruct,,High,,بیٹا، اب طبیعت ٹھیک ہے نا؟ میں تمہارے لیے پریشان تھی۔,جی امی، اب کافی بہتر ہوں، آپ فکر نہ کریں ۔,"""والی گھنٹی میں ٹھیک ہو گئی ہے، دادا جان، آپ کی دعا",0.0,0.625,1.0
Qalb-1.0-8B-Instruct,,Low,,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,"""جی سر، فوراً بنواتا ہوں۔""",0.0625,0.5,0.9375
Qalb-1.0-8B-Instruct,,High,,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,"""جی چچا جان، میں خود روٹی لے آؤں گا۔""",0.0,0.5,1.0
Meta-Llama-3.1-8B-Instruct,,High,,رات یہیں رک جاؤ، صبح چلے جانا۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,"""جی چچا جان، یقیناً رات یہیں رہوں گا، صبح تک کلام ہوگا",0.0,0.5,1.0
Meta-Llama-3.1-8B-Instruct,,High,,یہ رقم رکھ لو۔,آپ کی دعائیں اور شفقت ہی میرے لیے کافی ہیں، فی الحال اس کی ضرورت نہیں۔,"""کیا ہوگی، یہ میرا پیسہ ہے۔""",0.0,0.5,1.0
Meta-Llama-3.1-8B-Instruct,,Medium,,یہ کتاب رکھ لو۔,سر، یہ میرے لیے اعزاز ہے، بہت شکریہ۔,"""کیا ہوگی، یہ میرے نام پر ہے، مجھے لے لو، میں خود دوسری",0.0625,0.5,0.9375
GPT-4o-mini,,Medium,,یہ کتاب رکھ لو۔,سر، یہ میرے لیے اعزاز ہے، بہت شکریہ۔,"""شکریہ، مگر مجھے اس کی ضرورت نہیں ہے۔""",0.25,0.5,0.75
GPT-4o-mini,,Medium,,آج آپ میرے مہمان ہیں، بل کی فکر نہ کریں۔,سر، آپ کی عنایت ہے، لیکن آپ نے پہلے ہی بہت وقت دیا، مجھے بھی کچھ خدمت کا موقع دیجیے۔,بہت شکریہ، مگر میں اپنا بل خود ادا کروں گا۔,0.375,0.5,0.625
