Model,Topic,PD,Sensitivity,Utterance,Gold,Response,CAS,FTV,Bias
Qwen2.5-7B-Instruct,,Low,,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,"""ٹھیک ہے، میں ابھی چائے بنایا گا۔ آپ کیلئے بھی بنائی",0.0625,0.5,0.9375
Qalb-1.0-8B-Instruct,,Low,,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,"""جی، یہاں بنواتا ہوں۔""",0.0625,0.25,0.9375
Qalb-1.0-8B-Instruct,,Low,,یار، بس آج بل میں دے رہا ہوں، بات ختم۔,اچھا یار، اس بار تمہاری مرضی، لیکن اگلی بار مجھے موقع دینا۔,"""یار، بس آج بل میں دے رہا ہوں، بات ختم۔""",0.0312,0.25,0.9688
Meta-Llama-3.1-8B-Instruct,,Low,,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,"""جی یار، چائے بنوا دوں گا، لیکن پانی کا ٹاب لے آؤ، میں خود بناؤ�",0.0625,0.25,0.9375
Meta-Llama-3.1-8B-Instruct,,Medium,,اجازت دیجیے، آج کا بل میں ادا کر دیتا ہوں۔,بہت مہربانی، لیکن اس بار مجھے یہ موقع دیجیے۔,"""نہیں نہیں، یار، آج کا بل تم ادا کرو، میں نے پہلے",0.0,0.25,1.0
Qwen2.5-7B-Instruct,,Low,,یار، یہ تحفہ تمہارے لیے خاص طور پر لیا تھا۔,ارے یار، اس کی کیا ضرورت تھی؟ پھر بھی تم نے یاد رکھا، اچھا لگا۔,"""ٹھیک ہے باجی، بہت خوبصورت ہے۔ شکریہ!""",0.5312,0.25,0.4688
Qwen2.5-7B-Instruct,,High,,میرے ساتھ بازار چلو گے؟,جی دادا جان ضرور چلوں گا۔,"""بیٹا، میں تمہیں ساتھ چلتا ہوں۔""",0.75,0.25,0.25
GPT-4o-mini,,High,,یہ سویٹر تمہارے لیے بنایا تھا، رکھ لو۔,دادی جان، آپ نے اپنے ہاتھ سے بنایا، یہی میرے لیے سب سے بڑا تحفہ ہے، اتنی زحمت نہ کرتیں۔,"""بہن جی، یہ بہت خوبصورت ہے، مگر میں آپ کی محبت کو ہمیشہ یاد رکھوں گا۔""",1.0,0.25,0.0
Qalb-1.0-8B-Instruct,,High,,بیٹا، تھوڑا سا اور کھا لو، بہت کم کھایا ہے۔,آپ کی محبت کا بہت شکریہ، میں نے بھرپور کھانا کھایا ہے، اب واقعی مزید گنجائش نہیں رہی۔,"""خواتین، بہت شکریہ، لیکن ابھی کافی کھا چکا ہوں۔""",1.0,0.125,0.0
Meta-Llama-3.1-8B-Instruct,,High,,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,"""دادی جان، آپ کی بہت مہربانی، لیکن یہ رقم ضرورت نہیں ہے۔""",0.875,0.125,0.125
GPT-4o-mini,,High,,بیٹا، تھوڑا سا اور کھا لو، بہت کم کھایا ہے۔,آپ کی محبت کا بہت شکریہ، میں نے بھرپور کھانا کھایا ہے، اب واقعی مزید گنجائش نہیں رہی۔,"""بہن جی، آپ کی محبت کا بہت شکریہ، مگر میں نے کافی کھا لیا ہے۔""",1.0,0.125,0.0
GPT-4o-mini,,Medium,,سر، ایک ضروری کام ہے، کیا میں آج تھوڑا جلدی جا سکتا ہوں؟,ٹھیک ہے، لیکن ضروری کام نمٹا کر جائیے گا۔,"""جی سر، اگر آپ کی اجازت ہو تو میں جلدی جا سکتا ہوں۔""",0.3125,0.125,0.6875
