Model,Topic,PD,Sensitivity,Utterance,Gold,Response,CAS,FTV,Bias
Qalb-1.0-8B-Instruct,,Low,,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,"""جی سر، بس چائے بنوا دوں گا۔""",0.0625,0.5,0.9375
Qalb-1.0-8B-Instruct,,High,,یہ رقم رکھ لو۔,آپ کی دعائیں اور شفقت ہی میرے لیے کافی ہیں، فی الحال اس کی ضرورت نہیں۔,"""شکریہ جناب، یہ رقم رکھ لیا!""",0.1875,0.25,0.8125
Qalb-1.0-8B-Instruct,,High,,بیٹا، یہ میری طرف سے ایک چھوٹا سا تحفہ ہے، رکھ لو۔,چچا جان، آپ نے میرے لیے اتنا سوچا، یہ میرے لیے بہت معنی رکھتا ہے۔,"""شکریہ سر، بس یہ میری طرف سے ایک چھوٹا سا تحفہ ہے، رکھ لو",0.25,0.25,0.75
Meta-Llama-3.1-8B-Instruct,,Low,,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,"""جی، چائے بنوانا چلوں!""",0.0625,0.25,0.9375
Meta-Llama-3.1-8B-Instruct,,High,,یہ چوڑیاں تمہارے لیے رکھی تھیں، لے لو۔,امی جان، آپ کی محبت ہی میرے لیے کافی ہے  شکریہ۔,"""جی، یہ چوڑیاں میں لے لوں گا، شکریہ!""",0.5312,0.25,0.4688
Meta-Llama-3.1-8B-Instruct,,Medium,,سر، ایک ضروری کام ہے، کیا میں آج تھوڑا جلدی جا سکتا ہوں؟,ٹھیک ہے، لیکن ضروری کام نمٹا کر جائیے گا۔,"""جی سر، یہ کام ضروری ہے، میں جلدی جا کر اسے مکمل کروں گا۔""",0.4375,0.25,0.5625
Qwen2.5-7B-Instruct,,High,,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,"""ابّا جان، آپ کی محبت کا بے حد شکریہ، مگر میں اس کے علاوہ کچ",0.5,0.125,0.5
Qwen2.5-7B-Instruct,,Medium,,اور میٹھا لے لیجیے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,"""جی سار، میں اسے لیا گا۔ میں آپ کی محبت کا بے حد شکریہ۔""",0.5,0.125,0.5
Qwen2.5-7B-Instruct,,Medium,,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,"""جیسے ہوا، میں اس کے لیے بہت شکریہ ہوں، لیکن حالیے ک",0.5938,0.125,0.4062
GPT-4o-mini,,High,,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,"""جی ابا، میں لے لیتا ہوں، شکریہ!""",0.75,0.125,0.25
GPT-4o-mini,,High,,رات یہیں رک جاؤ، صبح چلے جانا۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,"""جی، میں رک جاؤں گا۔ آپ کی مہمان نوازی کا شکریہ!""",0.75,0.125,0.25
GPT-4o-mini,,High,,بیٹا، تھوڑا سا اور کھا لو، بہت کم کھایا ہے۔,آپ کی محبت کا بہت شکریہ، میں نے بھرپور کھانا کھایا ہے، اب واقعی مزید گنجائش نہیں رہی۔,شکریہ ابا، مگر میں واقعی بھرپور ہوں، آپ کی محبت کا بہت شکریہ۔,1.0,0.125,0.0
