Model,Topic,PD,Sensitivity,Utterance,Gold,Response,CAS,FTV,Bias
Qalb-1.0-8B-Instruct,,Low,,بس چپ ہو جاؤ اور میری بات سنو۔,ٹھیک ہے یار، لیکن آرام سے بھی بات کر سکتے ہو۔,"""یار، بس خاموش رہو اور میری بات سنو۔"" (Answer is an exact repetition of the question.)",0.3125,0.25,0.6875
Qwen2.5-7B-Instruct,,High,,میں نے تمہیں پہلے ہی منع کیا تھا۔,معاف کر دیں ابو، مجھ سے غلطی ہو گئی، آئندہ ایسا نہیں ہوگا۔,"""والد جان، میں نے تمہیں پہلے ہी منع کیا تھا۔ بہت شکریہ ک",0.0,0.25,1.0
Qalb-1.0-8B-Instruct,,High,,کل کھانے پر آنا۔,خالہ جان، آپ نے یاد کیا، یہ میرے لیے خوشی کی بات ہے، ان شاء اللہ ضرور آؤں گی۔,"""جی خالہ جان، کل کھانے پر آؤں گا۔""",0.7812,0.125,0.2188
Qalb-1.0-8B-Instruct,,Medium,,بھابھی، یہ شال آپ کے لیے لائی ہوں۔,تم نے میرے لیے سوچا، یہی میرے لیے خوشی کی بات ہے، اتنا تکلف نہ کرتی۔,"""بہت شکریہ بھابھی، لیکن آپ کو اس کی تکلیف نہیں کرنی چاہیے ت",0.7812,0.125,0.2188
Meta-Llama-3.1-8B-Instruct,,High,,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,"""جی ساسی، اب کافی ہو گیا، شکر ہو۔""",0.5,0.125,0.5
Meta-Llama-3.1-8B-Instruct,,High,,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,"""جی، بڑا بھائی جان، آپ کی دعائیں ہی میرے لیے کافی ہیں، مجھ",0.5938,0.125,0.4062
Meta-Llama-3.1-8B-Instruct,,High,,کل کھانے پر آنا۔,خالہ جان، آپ نے یاد کیا، یہ میرے لیے خوشی کی بات ہے، ان شاء اللہ ضرور آؤں گی۔,"""جی خالہ جان، ضرور آؤں گا، اگر کوئی ضروری کام نہ ہو۔""",0.5938,0.125,0.4062
Qwen2.5-7B-Instruct,,Low,,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,"""ٹھیک ہے، میں آؤں گا چائے بنانا۔""",0.4375,0.125,0.5625
Qwen2.5-7B-Instruct,,Low,,چل یار، میرے ساتھ جم چل۔,یار، آج تو نہیں ہو پائے گا، لیکن کسی دن ضرور چلیں گے۔,"""ٹھیک ہے، بیٹا، میرے ساتھ جم چلیں۔""",0.8438,0.125,0.1562
GPT-4o-mini,,High,,آج رات آپ ہمارے ساتھ کھانا ضرور کھائیے گا۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,"""جی ساس، میں ضرور آؤں گی، آپ کی محبت کا شکریہ!""",0.7812,0.125,0.2188
GPT-4o-mini,,Medium,,تم مت نکالو، آج بل میری طرف سے ہے۔,بھائی، ہر بار آپ ہی دیتے ہیں، اس بار مجھے دینے دیجیے۔,"""نہیں بھائی، آج بل میری طرف سے ہے۔ تم نے ہمیشہ میری مدد کی ہے، آج میں تمہاری مہمان نوازی کا شکریہ اد",0.7812,0.125,0.2188
GPT-4o-mini,,High,,بیٹا، ذرا یہ کام ابھی نمٹا لو۔,ٹھیک ہے امی، ابھی کر دیتی ہوں۔,"""جی امی، میں ابھی کر دیتا ہوں۔""",0.7812,0.125,0.2188
