ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation
1,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,,,,,,,بہت شکریہ! آپ کی مہربانی اپنی جگہ، مگر مجھے یہی کافی ہے,,,,,,,بہت شکریہ۔ آج رات کی سب کی رہنمائی آپ کی ہے۔,,,,,,,سر، اس سالن کو بھول لوں گا، ابھی ڈیویشن پر ہی ہوں۔,,,,,,
2,دوست,دوست,Low,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,,,,,,,بس، آئندہ! آپ کی بہت مہربانی، یار۔,,,,,,,جی، اباری۔ چلو، چائے بنواتے ہیں۔ (جی، اباری۔ چلو، چائے بن,,,,,,,جی، پلیز بناؤ۔,,,,,,
3,ساس,بہو,High,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,,,,,,,جی ساسی، اب پہلے میں لے لوں گا۔,,,,,,,ساسی، معذرت چاہتی ہوں، میں اب مزید نہیں کھاؤں گی۔ آپ,,,,,,,سر، م اس کی بہت شکریہ، ابھی یہی چاہتا تھا۔,,,,,,
4,بزرگ,نوجوان,High,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,,,,,,,سر، آپ کی بہت مہربانی، میں سارا موقع لیجیے گا۔ آپ کی یہی کتاب مجھے ب,,,,,,,بہت شکریہ! تمہاری بہت مہربانی۔ آئندہ کام کر لیتے ہیں۔,,,,,,,بہت شکرہ، اس سب کی ضرورت نہیں، بس تم رکھ لو۔,,,,,,
5,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,اور میٹھا لے لیجیے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,,,,,,,بہت شکریہ، یہ بہت مہربانی ہے۔ آپ کی مہربانی اپنی جگ�,,,,,,,بہت شکریہ! آپ کی بہت مہربانی۔,,,,,,,بہت شکریہ۔,,,,,,
6,استاد,طالب علم,Medium,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,,,,,,,آپ کی بہت مہربانی! آگے میں سارا کمیڈیا کا استعمال کر لو، جبکہ,,,,,,,سر، آپ کی بہت مہربانی، میں ضرورت پڑی تو آپ سے مدد لے لوں گا۔,,,,,,,جی، اگر آپ میں حسرت ہو تو میں مزید وضاحت کر سکتا ہوں۔,,,,,,
7,خالہ,بھانجا,High,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,رات یہیں رک جاؤ، صبح چلے جانا۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,,,,,,,خالہ جان، آپ کی بہت مہربانی، مگر میں سارا دن بس ایک رات رہنے پر ی�,,,,,,,جی، تمہاری بہت مہربانی۔ آج رات رھ جاؤں گا، تم فکر نہ کریں�,,,,,,,بہت شکریہ ٹھیک ہوں، میری بہن۔,,,,,,
8,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,,,,,,,بہت مہربانی، آپ زحمت نہ کریں۔ میں فکر کر لوں گا، اگر ضرورت پڑی,,,,,,,بہت شکریہ! تمہاری بہت مہربانی، مگر ابھی معاملہ کرنے کा وقت نہ,,,,,,,بہت شکریہ یار، آپ کی بہت مہربانی۔ اگر ضرورت پڑی تو میں ضرور استعمال ک,,,,,,
9,دوست,دوست,Low,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,چل یار، ایک اور گیم کھیل لیتے ہیں۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,,,,,,,بہت مبارک ہو! آئندہ کا مدد چاہتے ہیں۔,,,,,,,بہت مبارک ہو یار، تمہاری تجویز سن کر بہت خوش ہوں۔ چلو، آگ,,,,,,,بہت مبارک ہو۔ پہلے کھیل تھا بہت ممتاز، آج کا بھی ضر,,,,,,
10,ماموں,بھانجی,High,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,,,,,,,جی دادی، تمہاری بہت مہربانی۔,,,,,,,جی، تمہاری ڈیٹا بھی۔ آپ فکر نہ کریں، اگر کہ پڑی تو بھول,,,,,,,ماموں، آپ کی بہت مہربانی، مگر معذرت چاہتی ہوں۔ میں سارا,,,,,,
