ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation,Response_D,D_Relational_Alignment,D_Indirectness,D_Facesaving,D_Cultural_Appropriateness,D_Directness_Threat,D_Hierarchy_Violation
1,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,,,,,,,"""بہت شکریہ!"" (Answer is polite and appreciative.)
""میں نے کھانا کھا لیا ہے، اب",,,,,,,"""جیسے جانتے ہیں، مزبان کی محبت کا بہت شکریyah۔""",,,,,,,"""جی، بہت شکریہ۔""",,,,,,,"""بہت شکریہ، مگر میں نے کافی کھا لیا ہے۔""",,,,,,
2,دوست,دوست,Low,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,,,,,,,"""ٹھیک ہے، میں آؤں گا چائے بنانا۔""",,,,,,,"""نہیں، شکریہ! میں نے کافی پی لی ہے، آپ کو زحمت نہ دیں۔""",,,,,,,"""نہیں یار، بس اتنی ہی ہو گیا ہے۔""",,,,,,,"""جی، چائے بناوا دو، بہت احتیاج ہے۔""",,,,,,
3,ساس,بہو,High,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,,,,,,,"""ماموں جان، میں بھی ایک کیسے لیں گے۔""",,,,,,,"""جی ماما، بس اتنی روٹی کافی ہے، بس اتنی روٹی کافی ہے۔""",,,,,,,"""جی ساسی، اب کافی ہو گیا، شکر ہو۔""",,,,,,,"""شکریہ ساس جی، میں نے ابھی کافی کھا لیا ہے۔""",,,,,,
4,بزرگ,نوجوان,High,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,,,,,,,"""بہت شکریہ، یہ آپ کی مہربانی ہے۔ میں اسے ضرور پڑھوں گا۔""",,,,,,,"""جی، بڑا بھائی جان، آپ کی دعائیں ہی میرے لیے کافی ہیں، مجھ",,,,,,,"""جی، شکریہ!"" (Answer in English, as the question was asked in English.)
'''
Answer: ""جی، شکریہ!"" (Answer in English, as the question",,,,,,,"""جی، بہت شکریہ، مگر آپ کی کتاب کو ملک کرنا چاہتا ہوں۔",,,,,,
5,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,اور میٹھا لے لیجیے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,,,,,,,"""جی، بہت شکری۔ بس ابھی کھانے کے بعد ہی میٹھا لے لیجا۔""",,,,,,,"""بہت شکریہ، مگر میں نے پہلے ہی کافی کھا لیا ہے۔""",,,,,,,"""جی، بہت شکریہ۔""",,,,,,,"""جیسے جیسے، مزید میٹھا بھی بہت شکریہ۔""",,,,,,
6,استاد,طالب علم,Medium,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,,,,,,,"""جی سر، ابھی تک ہمارے پاس کوئی خاص سوال نہیں ہے، لیکن اگر ضرورت ہ",,,,,,,"""سر، آپ کی مدد کا بہت شکریہ، میں نے سب سمجھ لیا ہے۔""",,,,,,,"""جی سر، میں کسی حصے میں مشکل ہوں تھا تو آپ کی مدد کرتا ہو",,,,,,,"""جی سر، بس سبق ختم ہو گیا ہے، اگر کوئی حصہ مشکل ہے تو مزید وضاحت",,,,,,
7,خالہ,بھانجا,High,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,رات یہیں رک جاؤ، صبح چلے جانا۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,,,,,,,"""جی ہمیں یہیں رک جائیں، صبح کے لیے آمد ہوں گا۔""",,,,,,,"""خالہ، آپ کی محبت کا بہت شکریہ، مگر مجھے آج ہی واپس جانا ہے۔""",,,,,,,"""جی خالہ جان، آپ کی دعوت کا بہت شکریہ، لیکن میں ضرورت کے مطابق واپس چل",,,,,,,"""جی خالہ جان، بس صبح چلے جانا۔""",,,,,,
8,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,,,,,,,"""بہت مہربانی، مگر مجھے کچھ نہیں چاہیے۔""",,,,,,,"""جی پڑوسی، بہت شکریہ، لیکن ابھی کچھ ضرورت نہیں ہے۔""",,,,,,,"""جی، بہت شکریہ، آپ کی مدد کا بہت مقدار ہے۔ میں آپ کے لی",,,,,,,"""شکریہ، بس یہ کام سنبھال لوں، پھر کچھ دیر آرام کر لیتا ہوں۔",,,,,,
9,دوست,دوست,Low,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,چل یار، ایک اور گیم کھیل لیتے ہیں۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,,,,,,,"""جی بالکل، یہ تو مزیدار ہوگا!""",,,,,,,"""جی، یار، بس کچھ دیر کھیلتے ہیں، پھر چلے جائیں گے�",,,,,,,"""ٹھیک ہے، جیسے چلتے ہیں!""",,,,,,,"""جی یار، بس کچھ دیر کھیلیں گے، پھر ایک اور گیم کھیلیں گے۔""",,,,,,
10,ماموں,بھانجی,High,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,,,,,,,"""شکریہ ماما جان، بس یہ رقم میری طرف سے رکھیں، شاید کبھی ضرورت پڑے�",,,,,,,"""جی ماموں، بہت شکریہ۔ آپ کی محبت اور عنایت کا بہت احترام ہے",,,,,,,"""جی ماموں، بہت شکریہ، لیکن اب تک کچھ نہیں چاہیں۔""",,,,,,,"""ماموں جان، آپ کی محبت کا بہت شکریہ، مگر مجھے اس کی ضرورت نہیں ہے۔""",,,,,,
